Date	Time	Opponent#	Rank#	Site	TV	Result	Attendance
September 3	7:00 PM	Utah State*	#19	Rice–Eccles Stadium • Salt Lake City, UT (Battle of the Brothers)	The mtn.	W 35–17	45,333
September 12	8:30 PM	at San Jose State*	#17	Spartan Stadium • San José, CA	ESPNU	W 24–14	23,684
September 19	1:30 PM	at Oregon*	#18	Autzen Stadium • Eugene, OR	ESPN	L 24–31	58,017
September 26	5:30 PM	Louisville*		Rice–Eccles Stadium • Salt Lake City, UT	CBSCS	W 30–14	45,588
October 10	4:00 PM	at Colorado State		Hughes Stadium • Fort Collins, CO	The mtn.	W 24–17	30,499
October 17	8:00 PM	at UNLV	#24	Sam Boyd Stadium • Las Vegas, NV	The mtn.	W 35–15	26,315
October 24	2:00 PM	Air Force	#19	Rice–Eccles Stadium • Salt Lake City, UT	Versus	W 23–16 OT	45,129
October 31	6:00 PM	Wyoming	#19	Rice–Eccles Stadium • Salt Lake City, UT	The mtn.	W 22–10	44,837
November 7	4:00 PM	New Mexico	#17	Rice–Eccles Stadium • Salt Lake City, UT (The Bowl)	The mtn.	W 45–14	45,051
November 14	5:30 PM	at #4 TCU	#16	Amon G. Carter Stadium • Fort Worth, TX	CBSCS	L 28–55	50,307
November 21	2:00 PM	San Diego State	#23	Rice–Eccles Stadium • Salt Lake City, UT	Versus	W 38–7	44,991
November 28	3:00 PM	at #18 BYU	#22	LaVell Edwards Stadium • Provo, UT (The Holy War)	CBSCS/The mtn.	L 23–26 OT	64,301
December 23	6:00 PM	vs. California*	#23	Qualcomm Stadium • San Diego, CA (Poinsettia Bowl)	ESPN	W 37–27	32,665
