#	Judge	State	Born/Died	Active	Chief	Senior	Appointed by	Reason for\ntermination
1	Don Albert Pardee	LA	1837–1919	1891–1919	——	——		death
2	Andrew Phelps McCormick	TX	1832–1916	1892–1916	——	——	B. Harrison	death
3	David Davie Shelby	AL	1847–1914	1899–1914	——	——	McKinley	death
4	Richard Wilde Walker, Jr.	AL	1857–1936	1914–1930	——	1930–1936	Wilson	death
5	Robert Lynn Batts	TX	1864–1935	1917–1919	——	——	Wilson	resignation
6	Nathan P. Bryan	FL	1872–1935	1920–1935	——	——	Wilson	death
7	Alexander Campbell King	GA	1856–1926	1920–1924	——	——	Wilson	resignation
8	Rufus Edward Foster	LA	1871–1942	1925–1942	——	——	Coolidge	death
9	Samuel Hale Sibley	GA	1873–1958	1931–1949	——	1949–1958	Hoover	death
10	Joseph Chappell Hutcheson, Jr.	TX	1879–1973	1931–1964	1948–1959	1964–1973	Hoover	death
11	Edwin Ruthven Holmes	MS	1878–1961	1936–1954	——	1954–1961	F. Roosevelt	death
12	Leon Clarence McCord	AL	1878–1952	1938–1951	——	1951–1952	F. Roosevelt	death
13	Curtis Longino Waller	FL	1887–1950	1943–1950	——	——	F. Roosevelt	death
14	Elmo Pearce Lee	LA	1882–1949	1943–1949	——	——	F. Roosevelt	death
15	Wayne G. Borah	LA	1891–1966	1949–1956	——	1956–1966	Truman	death
16	Robert Lee Russell	GA	1900–1955	1949–1955	——	——	Truman	death
17	Louie Willard Strum	FL	1890–1954	1950–1954	——	——	Truman	death
18	Richard Rives	AL	1895–1982	1951–1966	1959–1960	1966–1981	Truman	reassignment to 11th Circuit
19	Elbert Tuttle	GA	1897–1996	1954–1968	1960–1967	1968–1981	Eisenhower	reassignment to 11th Circuit
20	Benjamin Franklin Cameron	MS	1890–1964	1955–1964	——	——	Eisenhower	death
21	Warren Leroy Jones	FL	1895–1993	1955–1966	——	1966–1981	Eisenhower	reassignment to 11th Circuit
22	John Robert Brown	TX	1909–1984	1955–1984	1967–1979	1984–1993	Eisenhower	death
23	John Minor Wisdom	LA	1905–1999	1957–1977	——	1977–1999	Eisenhower	death
24	Griffin Bell	GA	1918–2009	1961–1976	——	——	Kennedy	resignation
25	Walter Pettus Gewin	AL	1908–1981	1961–1976	——	1976–1981	Kennedy	death
26	William Homer Thornberry	TX	1909–1995	1965–1978	——	1978–1995	L. Johnson	death
27	James Plemon Coleman	MS	1914–1991	1965–1981	1979–1981	1981–1984	L. Johnson	resignation
28	Robert Andrew Ainsworth, Jr.	LA	1910–1981	1966–1981	——	——	L. Johnson	death
29	John Cooper Godbold	AL	1920–2009	1966–1981	1981–1981	——	L. Johnson	reassignment to 11th Circuit
30	Irving Loeb Goldberg	TX	1906–1995	1966–1980	——	1980–1995	L. Johnson	death
31	David William Dyer	FL	1910–1998	1966–1976	——	1976–1981	L. Johnson	reassignment to 11th Circuit
32	John Milton Bryan Simpson	FL	1903–1987	1966–1975	——	1975–1981	L. Johnson	reassignment to 11th Circuit
33	Claude Feemster Clayton	MS	1909–1969	1967–1969	——	——	L. Johnson	death
34	Lewis Render Morgan	GA	1913–2001	1968–1978	——	1978–1981	L. Johnson	reassignment to 11th Circuit
35	Harold Carswell	FL	1919–1992	1969–1970	——	——	Nixon	resignation
36	Charles Clark	MS	1925–2011	1969–1992	1981–1992	——	Nixon	retirement
37	Joe McDonald Ingraham	TX	1903–1990	1969–1973	——	1973–1990	Nixon	death
38	Paul Hitch Roney	FL	1921–2006	1970–1981	——	——	Nixon	reassignment to 11th Circuit
39	Thomas Gibbs Gee	TX	1925–1994	1973–1991	——	——	Nixon	retirement
40	Gerald Bard Tjoflat	FL	1929–	1975–1981	——	——	Ford	reassignment to 11th Circuit
41	James Clinkscales Hill	GA	1924–	1976–1981	——	——	Ford	reassignment to 11th Circuit
42	Peter Thorp Fay	FL	1929–	1976–1981	——	——	Ford	reassignment to 11th Circuit
43	Alvin Benjamin Rubin	LA	1920–1991	1977–1989	——	1989–1991	Carter	death
44	Robert Smith Vance	AL	1931–1989	1977–1981	——	——	Carter	reassignment to 11th Circuit
45	Phyllis A. Kravitch	GA	1920–	1979–1981	——	——	Carter	reassignment to 11th Circuit
46	Frank Minis Johnson	AL	1918–1999	1979–1981	——	——	Carter	reassignment to 11th Circuit
47	R. Lanier Anderson III	GA	1936–	1979–1981	——	——	Carter	reassignment to 11th Circuit
48	Reynaldo Guerra Garza	TX	1915–2004	1979–1982	——	1982–2004	Carter	death
49	Joseph Woodrow Hatchett	FL	1932–	1979–1981	——	——	Carter	reassignment to 11th Circuit
50	Albert John Henderson	GA	1920–1999	1979–1981	——	——	Carter	reassignment to 11th Circuit
52	Henry Anthony Politz	LA	1932–2002	1979–1999	1992–1999	1999–2002	Carter	death
54	Samuel D. Johnson, Jr.	TX	1920–2002	1979–1991	——	1991–2002	Carter	death
55	Albert Tate, Jr.	LA	1920–1986	1979–1986	——	——	Carter	death
56	Thomas Alonzo Clark	GA	1920–2005	1979–1981	——	——	Carter	reassignment to 11th Circuit
57	Jerre Stockton Williams	TX	1916–1993	1980–1990	——	1990–1993	Carter	death
58	William Lockhart Garwood	TX	1931–2011	1981–1997	——	1997–2011	Reagan	death
62	Robert Madden Hill	TX	1928–1987	1984–1987	——	——	Reagan	death
65	John Malcolm Duhé, Jr.	LA	1933-	1988–1999	——	1999–2011	Reagan	retirement
72	Robert Manley Parker	TX	1937–	1994–2002	——	——	Clinton	retirement
76	Charles W. Pickering	MS	1937–	2004–2004	——	——	G.W. Bush	retirement
