Week	Date	Opponent	Result	Game site	Attendance
1	September 11, 1960	at New York Titans	L 27–3	Polo Grounds	10,200
2	September 18, 1960	Denver Broncos	L 27–21	War Memorial Stadium	15,229
3	September 23, 1960	at Boston Patriots	W 13–0	Nickerson Field	20,732
4	October 2, 1960	Los Angeles Chargers	L 24–10	War Memorial Stadium	15,821
6	October 16, 1960	New York Titans	L 17–13	War Memorial Stadium	14,988
7	October 23, 1960	Oakland Raiders	W 38–9	War Memorial Stadium	8,876
8	October 30, 1960	Houston Oilers	W 25–24	War Memorial Stadium	23,001
9	November 6, 1960	Dallas Texans	L 45–28	War Memorial Stadium	19,610
10	November 13, 1960	at Oakland Raiders	L 20–7	Kezar Stadium	8,800
11	November 20, 1960	at Los Angeles Chargers	W 32–3	Los Angeles Memorial Coliseum	16,161
12	November 27, 1960	at Denver Broncos	T 38–38	Bears Stadium	7,785
13	December 4, 1960	Boston Patriots	W 38–14	War Memorial Stadium	14,335
14	December 11, 1960	at Houston Oilers	L 31–23	Jeppesen Stadium	25,243
15	December 18, 1960	at Dallas Texans	L 24–7	Cotton Bowl	18,000
