Name	Route number(s)	Length (mi)	Location	Notes
Alewife Brook Parkway		2.05	Cambridge	Runs from Concord Avenue to the Mystic Valley Parkway.
American Legion Highway	*		Westport	Runs through Tiverton, Rhode Island; Fall River, Massachusetts; Westport, Massachusetts
Amvets Memorial Highway\n(Fall River Expressway)	*	40.91	Fall River to Randolph	Route 24 is a connector between the Fall River/New Bedford area east of Rhode Island to the Boston metropolitan area, connecting the major freeways of the area: I-195 in Fall River and I-93/US-1 near I-95 in Randolph.\n- Route 79 runs along the highway between Exits 7 and 9, concurrent with Route 24.\n- I-195 has a brief concurrency with Route 24 in Fall River.
Boston Post Road			Marlborough to Weston	Most of US-20 between Marlborough and Weston runs along the Boston Post Road.
Henry E. Bodurtha Highway		5.0	Agawam	Freeway comprises the eastern 5 miles (8.0 km) of Route 57, connecting Route 187 to U.S. Route 5 and I-91.
Boston-Worcester Turnpike			Worcester to Boston	Route 9 between Worcester and Boston is mostly a divided full-access highway with traffic light-controlled intersections which serves as one of the main alternatives to the Massachusetts Turnpike. Many shopping centers, car dealers, full-service restaurants and businesses line the roadway on this stretch, especially in Framingham, such as Barnes & Noble, Marshalls, T.G.I. Fridays, Kohl's, Toys "R" Us, Best Buy, Olive Garden and Walmart. This stretch of the roadway is also encompassed in the Golden Triangle district of Massachusetts.
Central Artery\n(John F. Fitzgerald Expressway)		3.18	Boston	The Central Artery is the portion of I-93 in downtown Boston, which runs from Massachusetts Ave. (just south of Exit 20) north to U.S. Route 1's departure at Exit 27.\nRoute 3 leaves the Artery at Exit 26.
Commonwealth Avenue			Newton, Boston	Stretches from Weston/Newton line to the Boston Public Garden.
East Boston Expressway		1.2	Boston	The East Boston Expressway comprises the first 1.2 miles (1.9 km) of Route 1A's northern segment. It stretches from I-93 Exit 24 at the southern end of the Callahan Tunnel (northbound) and the Sumner Tunnel (southbound) to just northeast of the interchange with Route 145 in East Boston, near the eastern end of the Mass Pike.
Grand Army of the Republic Highway	*	117.46	Seekonk to Provincetown	The cross-country U.S. Route 6 is designated Grand Army of the Republic Highway over its entire length, which spans 3,205 miles (5,158 km).
Horseneck Beach Connector	*	13.03	Westport	Route 88 serves as a connector running from the Horseneck Beach Reservation north to I-195 Exit 10 in Westport.
Loop Connector	*	3.56	Methuen	Route 213 is designated "Loop Connector." It serves as a freeway connection between Interstates 93 and 495 in Methuen.
Lydia Taft Highway	*	3	Uxbridge	Route 146A in Massachusetts is designated as the Lydia Taft Highway, which runs from the Rhode Island state border to Route 122 in Uxbridge.
Massachusetts Turnpike	*	138.1	West Stockbridge\nto Boston	The Mass Pike is a toll road running from the New York state border to downtown Boston. It serves as the main cross-state freeway connecting the western and eastern portions of the state. The "Pike" carries the easternmost 138 miles (222 km) of cross-country Interstate 90.
Memorial Drive		4.12	Cambridge	U.S. Route 3 and MA Route 3 connect to each other on Memorial Drive, which runs from the Fresh Pond Parkway to Main Street.\nRoute 2 travels along Memorial Drive with US-3 and leaves via the Boston University Bridge.
