Event	Record	Athlete(s)	Date	Time (s)
Bobsleigh – two-man	Start	Beat Hefti & Thomas Lamparter (SUI)	6 February 2009	4.70
Bobsleigh – two-man	Track	Thomas Florschütz & Richard Adjei (GER)\n André Lange & Kevin Kuske (GER)	20 February 2010\n21 February 2010	51.57
Bobsleigh – four-man	Start	André Lange, Kevin Kuske, Alexander Rödiger, & Martin Putze (GER)	26 February 2010	4.70
Bobsleigh – four-man	Track	Steve Holcomb, Justin Olsen, Steve Mesler, & Curtis Tomasevicz (USA)	26 February 2010	50.86
Bobsleigh – two-woman	Start	Kaillie Humphries & Heather Moyse (CAN)	23 February 2010\n24 February 2010	5.11
Bobsleigh – two-woman	Track	Kaillie Humphries & Heather Moyse (CAN)	24 February 2010	52.85
Men's skeleton	Start	Alexander Tretiakov (RUS)	18 February 2010	4.48
Men's skeleton	Track	Jon Montgomery (CAN)	19 February 2010	52.20
Women's skeleton	Start	Anja Huber (GER)	18 February 2010	4.90
Women's skeleton	Track	Amy Williams (GBR)	19 February 2010	53.68
Luge – men's singles	Start	Andi Langenhan (GER)	21 February 2009	3.541
Luge – men's singles	Track	Felix Loch (GER)	21 February 2009	46.808
Luge – women's singles	Start	Natalie Geisenberger (GER)	20 February 2009	7.183
Luge – women's singles	Track	Natalie Geisenberger (GER)	20 February 2009	48.992
Luge – men's doubles	Start	Tobias Wendl & Tobias Arlt (GER)	20 February 2009	7.054
Luge – men's doubles	Track	Patric Leitner & Alexander Resch (GER)	20 February 2009	48.608
