"Name","Type","R.A. (J2000)","Dec. (J2000)","Redshift (km/s)","Apparent Magnitude"
"IC 2049","SAB(s)d?","04h 12m 04.3s","−58° 33′ 25″","1469 ± 7","14.5"
"NGC 1536","SB(s)c pec","04h 10m 59.8s","−56° 28′ 50″","1217 ± 13","13.2"
"NGC 1543","(R)SB(l)00","04h 12m 43.2s","−57° 44′ 17″","1176 ± 7","11.5"
"LSBG F157-081","Irregular","04h 27m 13.7s","−57° 25′ 42″","1215 ± 7","16.7"
"NGC 1533","(L)SB(rs)00","04h 09m 51.8s","−56° 07′ 06″","790 ± 5","11.7"
"IC 2038","Sd pec","04h 08m 53.7s","−55° 59′ 22″","712 ± 52","15.5"
"APMBGC 157+016+068","Irregular","04h 22m 51.7s","−56° 13′ 39″","1350 ± 4","16.3"
"NGC 1546","SA0+?","04h 14m 36.5s","−56° 03′ 39″","1284 ± 14","11.8"
"IC 2058","Sc","04h 17m 54.3s","−55° 55′ 58″","1379 ± 1","13.9"
"IC 2032","IAB(s)m pec","04h 07m 03.0s","−55° 19′ 26″","1068 ± 7","14.7"
"NGC 1566","(R'_1)SAB(rs)bcSy1","04h 20m 00.4s","−54° 56′ 16″","1504 ± 2","10.3"
"NGC 1596","SA0: sp","04h 27m 38.1s","−55° 01′ 40″","1510 ± 8","12.1"
"NGC 1602","IB(s)m pec","04h 27m 55.0s","−55° 03′ 28″","1568 ± 8","13.3"
"NGC 1515","SAB(s)bc","04h 04m 02.7s","−54° 06′ 00″","1175 ± 7","12.1"
"NGC 1522","(R')S00: pec","04h 06m 07.9s","−52° 40′ 06″","898 ± 7","13.9"
"ESO 118-019","S00 pec","04h 18m 59.5s","−58° 15′ 27″","1239","14.9"
"ESO 157-030","E4","04h 27m 32.6s","−54° 11′ 48″","1471 ± 28","14.7"
"ESO 157-047","S0/a? pec sp","04h 39m 19.1s","−54° 12′ 41″","1655 ± 10","15.5"
"ESO 157-049","S?","04h 39m 36.9s","−53° 00′ 46″","1678 ± 5","14.3"
"IC 2085","S00 pec sp","04h 31m 24.2s","−54° 25′ 01″","982 ± 10","13.9"
"NGC 1549","E0−1","04h 15m 45.1s","−55° 35′ 32″","1220 ± 15","10.7"
"NGC 1553","SA(rl)00","04h 16m 10.5s","−55° 46′ 49″","1080 ± 11","10.3"
"NGC 1574","SA0-","04h 21m 58.8s","−56° 58′ 29″","1050 ± 25","11.4"
"NGC 1581","S0-","04h 24m 44.9s","−54° 56′ 31″","1600 ± 27","13.6"
"NGC 1617","(R')SAB(rs)a","04h 31m 39.5s","−54° 36′ 08″","1063 ± 21","11.4"
"Abell 3202","Irregular","04h 01m 15.2s","−53° 29′ 23″","1135 ± 40","16.9"
