#	Date	Venue	Opponent	Score	Result	Competition
1	10 January 1996	Edison International Field, Anaheim, United States	Honduras	1-0	3-1	1996 CONCACAF Gold Cup
2	30 August 1996	Commonwealth Stadium, Edmonton, Canada	Panama	3-1	3-1	1998 FIFA World Cup qualification
3	12 October 1997	Commonwealth Stadium, Edmonton, Canada	Mexico	2-1	2-2	1998 FIFA World Cup qualification
4	8 October 1999	Los Angeles Memorial Coliseum, Los Angeles, United States	El Salvador	1-0	2-1	2000 CONCACAF Gold Cup qualification play off
5	10 October 1999	Los Angeles Memorial Coliseum, Los Angeles, United States	Haiti	1-0	2-1	2000 CONCACAF Gold Cup qualification play off
6	10 October 1999	Los Angeles Memorial Coliseum, Los Angeles, United States	Haiti	2-0	2-2	2000 CONCACAF Gold Cup qualification play off
7	13 February 2000	Qualcomm Stadium, San Diego, United States	Costa Rica	1-1	2-2	2000 CONCACAF Gold Cup
8	13 February 2000	Qualcomm Stadium, San Diego, United States	Costa Rica	2-2	2-2	2000 CONCACAF Gold Cup
9	20 February 2000	Qualcomm Stadium, San Diego, United States	Mexico	1-1	2-1	2000 CONCACAF Gold Cup
10	27 February 2000	Los Angeles Memorial Coliseum, Los Angeles, United States	Colombia	2-0	2-0	2000 CONCACAF Gold Cup
11	18 January 2004	Bridgetown, Barbados	Barbados	1-0	1-0	Friendly match
