Pos	No	Driver	Team	Laps	Time/Retired	Grid	Points
1	1	Sébastien Bourdais	Newman/Haas Racing	76	1:39:50.252	1	34
2	9	Justin Wilson	RuSPORT	76	+3.066 secs	2	29
3	10	A. J. Allmendinger	RuSPORT	76	+14.132 secs	3	25
4	3	Paul Tracy	Forsythe Racing	76	+47.222 secs	5	23
5	15	Alex Tagliani	Team Australia	76	+57.778 secs	6	21
6	7	Mario Domínguez	Forsythe Racing	76	+58.782 secs	8	19
7	27	Andrew Ranger	Mi-Jack Conquest Racing	76	+59.302 secs	13	18
8	6	Oriol Servià	PKV Racing	76	+1:13.956	7	15
9	19	Cristiano da Matta	Dale Coyne Racing	76	+1:14.958	12	13
10	2	Bruno Junqueira	Newman/Haas Racing	75	+ 1 Lap	4	11
11	5	Will Power	Team Australia	75	+ 1 Lap	9	10
12	34	Charles Zwolsman	Mi-Jack Conquest Racing	75	+ 1 Lap	10	9
13	14	Dan Clarke	CTE Racing-HVM	75	+ 1 Lap	14	9
14	20	Katherine Legge	PKV Racing	75	+ 1 Lap	17	7
15	8	Nicky Pastorelli	Rocketsports Racing	74	+ 2 Laps	16	6
16	11	Jan Heylen	Dale Coyne Racing	71	+ 5 Laps	11	5
17	4	Nelson Philippe	CTE Racing-HVM	0	Contact	15	4
