"Designation","Classification","Constellation","Apparent Magnitude"
"Comet Galaxy","S","Sculptor",""
"ESO 97-G13, Circinus Galaxy","S","Circinus","11"
"ESO 269-57","SB(r)a","Centaurus","12.49"
"ESO 510-G13","Sa: pec sp","Hydra","13.4"
"IC 342","SAB(rs)cd","Camelopardalis","9.1"
"IC 442","S","Camelopardalis","13.8"
"IC 1296","SBbc","Lyra","14.8"
"ISOHDFS 27","S","",""
"IC 2163","SB(rs)c pec","Canis Major","11.6"
"IC 4970","SA0- pec","Pavo","12.7"
"LEDA 100170, Dwingeloo 1","SB(s)cd","Cassiopeia","8.3"
"M31, Andromeda","SA(s)b","Andromeda","4.36"
"M33, Triangulum Galaxy","SA(s)cd","Triangulum","6.3"
"M51a, Whirlpool Galaxy","SA(s)bc pec","Canes Venatici","9.0"
"M58","SAB(rs)b","Virgo","10.5"
"M61","SAB(rs)bc","Virgo","10.2"
"M63, Sunflower Galaxy","SA(rs)bc","Canes Venatici","9.3"
"M64, Black Eye Galaxy","(R)SA(rs)ab","Coma Berenices","9.4"
"M65","SAB(rs)a","Leo","10.3"
"M66","SAB(s)b","Leo","9.7"
"M74","SA(s)c","Pisces","9.95"
"M77","(R)SA(rs)b","Cetus","9.6"
"M81","SA(s)ab","Ursa Major","7.9"
"M83","SAB(s)c","Hydra","8.2"
"M88","SA(rs)b","Coma Berenices","10.4"
"M90","SAB(rs)ab","Virgo","10.3"
"M91","SBb(rs)","Coma Berenices","11.0"
"M94","SA(r)ab","Canes Venatici","9.0"
"M95","SB(r)b","Leo","11.4"
"M96","SAB(rs)ab","Leo","10.1"
"M98","SAB(s)ab","Coma Berenices","11"
"M99, Coma Pinwheel Galaxy","SA(s)c","Coma Berenices","10.4"
"M100","SAB(s)bc","Coma Berenices","10.1"
"M101, Pinwheel Galaxy","SAB(rs)cd","Ursa Major","8.3"
"M104, Sombrero Galaxy","SA(s)a","Virgo","9.0"
"M106","SAB(s)bc","Canes Venatici","9.1"
"M108","SB(s)cd","Ursa Major","10.7"
"M109","SB(rs)bc","Ursa Major","10.6"
"Maffei 2","SAB(rs)bc","Cassiopeia","16.0"
"Milky Way","SBa[citation needed]","N/A","N/A"
"NGC 1","SA(s)b","Pegasus","13.65"
"NGC 2","Sab","Pegasus","+15.0"
"NGC 17","Sc","Cetus","15.3"
"NGC 47","SB(rs)bc","Cetus","13.5"
"NGC 247","SAB(s)d","Cetus","9.9"
"NGC 253, Sculptor Galaxy","SAB(s)c","Sculptor","8.0"
"NGC 300","SA(s)d","Sculptor","9.0"
"NGC 514","SAB(rs)c","Pisces","12.2"
"NGC 625","SB(s)m","Phoenix","11.7"
"NGC 772","SA(s)b","Aries","11.1"
"NGC 891","SA(s)b","Andromeda","10.8"
"NGC 1032","S0/a","Cetus","12.6"
"NGC 1042","SAB(rs)cd","Cetus","14.0"
"NGC 1055","SBb:II-III: spindle","Cetus","11.6"
"NGC 1087","SAB(rs)c","Cetus","12.2"
"NGC 1090","SB(rs)bc","Cetus","12.5"
"NGC 1097","R'_1:)SB(r'l)bSy1","Fornax","10.2"
"NGC 1232","SAB(rs)c","Eridanus","10.9"
"NGC 1300","(R')SB(s)bc","Eridanus","11.4"
"NGC 1365","(R')SBb(s)b","Fornax","10.3"
"NGC 1512","SB(r)ab","Horologium","11.1"
"NGC 1532","SB(s)b pec","Eridanus","10.7"
"NGC 1637","SAB(rs)c","Eridanus","11.5"
"NGC 2207","SAB(rs)bc pec","Canis Major","12.2"
"NGC 2403","SAB(s)cd","Camelopardalis","8.9"
"NGC 2442","SAB(s)bc pec","Volans","11.2"
"NGC 2541","SA(s)cd","Lynx","12.3"
"NGC 2683","SA(rs)b","Lynx","10.6"
"NGC 2715","SABc","Camelopardalis","12"
"NGC 2841","SA(r)b","Ursa Major","10.1"
"NGC 2903","SB(s)d","Leo","9.7"
"NGC 2976","SAc pec","Ursa Major","10.8"
"NGC 2997","SA(s)c","Antlia","10.1"
"NGC 3054","SAB(r)bc","Hydra","12.6"
"NGC 3079","SB(s)c","Ursa Major","11.5"
"NGC 3109","SB(s)m","Hydra","10.4"
"NGC 3184","SA(s)b","Ursa Major","9.6"
"NGC 3223","","Antlia","12"
"NGC 3310","SAB(r)bc pec","Ursa Major","11.2"
"NGC 3314","SBbc/SAab","Hydra","12.5"
"NGC 3370","SA(s)c","Leo","12.3"
"NGC 3486","Sb","Leo Minor","11.0"
"NGC 3521","SABbc","Leo","10"
"NGC 3596","SAB(rs)c","Leo","12.0"
"NGC 3628","SAb pec","Leo","14.0"
"NGC 3877","Sc","Ursa Major","12.1"
"NGC 3949","SA(s)bc","Ursa Major","11.5"
"NGC 3953","SB(r)bc","Ursa Major","10.8"
"NGC 3982","SAB(r)b","Ursa Major","12.0"
"NGC 4013","SAb","Ursa Major","19.2"
