"","Chronological
No.","Date
(New style)","Water level
cm","Peak hour"
"1","84","19 November 1824","421","14:00"
"2","210","23 September 1924","380","19:15"
"3","71","9 September 1777","321","morning"
"4","244","15 October 1955","293","20:45"
"5","264","29 September 1975","281","4:00"
"6","39","22 October 1752","280","10:00"
"7","9","2 October 1723","272","–"
"8","14","1 November 1726","270","–"
"9","183","13 November 1903","269","9:00"
"10","7","5 November 1721","265","daytime"
"11","86","20 August 1831","264","night"
"12","3","9 September 1706","262","daytime"
"13","319","30 November 1999","262","4:35"
"14","25","10 September 1736","261",""
"15","298","6 December 1986","260","13:30"
"16","215","15 October 1929","258","17:15"
"18","83","24 January 1822","254","night"
"19","144","29 October 1874","252","4:00"
"20","55","20 November 1764","244","–"
"21","201","17 November 1917","244","6:50"
"22","254","18 October 1967","244","13:30"
"23","45","29 September 1756","242",""
"24","136","20 October 1873","242","–"
"25","175","4 November 1897","242","12:00"
"26","261","17 November 1974","242","1:00"
"27","177","26 November 1898","240","23:30"
"28","260","20 December 1973","240","7:15"
"29","219","8 January 1932","239","3:00"
"30","225","8 October 1935","239","5:50"
"31","18","12 October 1729","237","10:00"
"32","76","29 September 1788","237","–"
"33","145","26 November 1874","237","4:00"
"34","171","2 November 1895","237","3:00"
"35","227","9 September 1937","236","5:30"
"36","37","17 October 1744","234","–"
"37","41","26 October 1752","234","12:00"
"38","43","11 December 1752","234","night"
"39","228","14 September 1938","233","2:25"
"40","269","7 September 1977","231","16:50"
"41","292","1 January 1984","231","21:20"
"42","125","19 January 1866","229","10:00"
"43","208","24 November 1922","228","19:15"
"44","315","12 October 1994","228","13:50"
"45","116","8 October 1863","227","2:00"
"46","211","3 January 1925","225","21:30"
"47","81","6 September 1802","224","daytime"
"48","122","19 May 1865","224","9:10"
"49","202","24 August 1918","224","9:10"
"50","242","14 October 1954","222","21:00"
