"Divisions","Prize (EUR)","Odds of winning (1 in)","Number of winning tickets","In order to win"
"All","45,000.00","3.54","565","Any Prize"
"1st","18,000.00","2,000","1","Match all 5 in order"
"2nd","750.00","2,000","1","Match all 5 in order"
"3rd","600.00","2,000","1","Match all 5 in order"
"4th","450.00","2,000","1","Match all 5 in order"
"5th","300.00","2,000","1","Match all 5 in order"
"6th","135.00","2,000","1","Match all 5 in order"
"Sub","180.00","2,000","2","Nearest number to 1st prize"
"Sub","180.00","2,000","2","Nearest number to 2nd prize"
"Sub","180.00","2,000","2","Nearest number to 3rd prize"
"Sub","17,820.00","20.2","297","First 3 Digits of 1st, 2nd & 3rd"
"Sub","3,420.00","105.3","57","Last 2 Digits of 1st, 2nd & 3rd"
"Sub","2,985.00","10.1","199","Last 1 Digit of 1st"
