"#","Date","Film","Gross","Notes"
"1","January 6, 2002","The Lord of the Rings: The Fellowship of the Ring","$23,006,447",""
"2","January 13, 2002","The Lord of the Rings: The Fellowship of the Ring","$16,201,260",""
"3","January 20, 2002","Black Hawk Down","$28,611,736","Black Hawk Down broke Save the Last Dance's record ($23.4 mil) for the highest Martin Luther King weekend debut."
"4","January 27, 2002","Black Hawk Down","$17,012,268",""
"5","February 3, 2002","Black Hawk Down","$11,112,555",""
"6","February 10, 2002","Collateral Damage","$15,058,432",""
"7","February 17, 2002","John Q","$20,275,194","John Q. broke The Wedding Singer's record ($18.9 mil) for the highest President's Day weekend debut."
"8","February 24, 2002","Queen of the Damned","$14,757,535",""
"9","March 3, 2002","We Were Soldiers","$20,212,543",""
"10","March 10, 2002","The Time Machine","$22,610,437",""
"11","March 17, 2002","Ice Age","$46,312,454","Ice Age broke Liar Liar's record ($31.4 mil) for the highest weekend debut in March."
"12","March 24, 2002","Blade II","$32,528,016",""
"13","March 31, 2002","Panic Room","$30,056,751",""
"14","April 7, 2002","Panic Room","$18,244,157",""
"15","April 14, 2002","Changing Lanes","$17,128,062",""
"16","April 21, 2002","The Scorpion King","$36,075,875","The Scorpion King broke The Matrix's record ($27.8 mil) for the highest weekend debut in April."
"17","April 28, 2002","The Scorpion King","$18,038,270",""
"18","May 4, 2002","Spider-Man","$114,844,116","Spider-Man broke Harry Potter and the Sorcerer's Stone's record ($90.3 mil) for the highest weekend debut of all-time, and The Lost World: Jurassic Park's record ($72.1 mil) for the highest weekend debut in May and X-Men's record ($54.4 million) for highest weekend debut for a Superhero film. Spider-Man was the first film ever to gross more than $100 million in 3 days, and had the highest weekend debut of 2002."
"19","May 12, 2002","Spider-Man","$71,417,527","Spider-Man broke Harry Potter and the Sorcerer's Stone's record ($57.5 mil) for the highest second weekend gross."
"20","May 19, 2002","Star Wars Episode II: Attack of the Clones","$80,027,814","Meanwhile, Spider-Man broke Star Wars Episode I: The Phantom Menace's record ($32.8 mil) for the highest third weekend gross."
"21","May 26, 2002","Star Wars Episode II: Attack of the Clones","$47,880,532",""
"22","June 2, 2002","The Sum of All Fears","$31,178,526",""
"23","June 9, 2002","The Sum of All Fears","$19,230,111",""
"24","June 16, 2002","Scooby-Doo","$54,155,312",""
"25","June 23, 2002","Minority Report","$35,677,125",""
"26","June 30, 2002","Mr. Deeds","$37,162,787",""
"27","July 7, 2002","Men in Black II","$52,148,751","Men in Black II broke Men in Black's record ($51.1 mil) for the highest Fourth of July weekend debut."
"28","July 14, 2002","Men in Black II","$24,410,311",""
"29","July 21, 2002","Road to Perdition","$15,412,515","Road to Perdition reached #1 in its second weekend of release. Initial estimates had Stuart Little 2 ahead of Road to Perdition."
"30","July 28, 2002","Austin Powers in Goldmember","$73,071,188","Austin Powers in Goldmember broke Planet of the Apes's record ($68.5 mil) for the highest weekend debut in July."
"31","August 4, 2002","Signs","$60,117,080",""
"32","August 11, 2002","xXx","$44,506,103",""
"33","August 18, 2002","xXx","$22,111,421",""
"34","August 25, 2002","Signs","$14,285,028","Signs reclaimed #1 in its fourth weekend of release."
"35","September 1, 2002","Signs","$13,441,194",""
"36","September 8, 2002","Swimfan","$11,326,601",""
"37","September 15, 2002","Barbershop","$20,627,433",""
"38","September 22, 2002","Barbershop","$12,817,223",""
"39","September 29, 2002","Sweet Home Alabama","$35,648,740","Sweet Home Alabama broke Rush Hour's record ($33.0 mil) for the highest weekend debut in September."
"40","October 6, 2002","Red Dragon","$36,540,945","Red Dragon broke Meet the Parents's record ($28.6 mil) for the highest weekend debut in October and for any fall release."
"41","October 13, 2002","Red Dragon","$17,655,750",""
"42","October 20, 2002","The Ring","$15,015,393",""
"43","October 27, 2002","Jackass: The Movie","$22,763,437",""
"44","November 3, 2002","The Santa Clause 2","$29,008,696",""
"45","November 10, 2002","8 Mile","$51,240,555",""
"46","November 17, 2002","Harry Potter and the Chamber of Secrets","$88,357,488",""
"47","November 24, 2002","Die Another Day","$47,072,040",""
"48","December 1, 2002","Harry Potter and the Chamber of Secrets","$32,117,496","Harry Potter and the Chamber of Secrets reclaimed #1 in its third weekend on Thanksgiving Holiday."
"49","December 8, 2002","Die Another Day","$12,843,007","Die Another Day reclaimed #1 in its third weekend of release."
"50","December 15, 2002","Maid in Manhattan","$18,711,407",""
"51","December 22, 2002","The Lord of the Rings: The Two Towers","$62,007,528","The Lord of the Rings: The Two Towers broke The Lord of the Rings: The Fellowship of the Ring's record ($47.2 mil) for the highest weekend debut in December."
"52","December 29, 2002","The Lord of the Rings: The Two Towers","$48,875,549",""
