"Release date","Album Title","Record Company","Song Title","Certification"
"October 8, 2006","Hotsilog: The ASAP Hotdog Compilation","ASAP Music","\"Annie Batungbakal\"","PARI: Platinum"
"July 25, 2007","Nagmamahal, Kapamilya: Songs for Global Pinoys","Star Records","\"Super Pinoy\"","PARI: 6X Platinum"
"December 2007","H.O.P.E. (Healing Of Pain and Enlightenment)","Star Records","\"Count On Me\"","PARI: Gold"
"April 2009","OPM Number 1's","Star Records","\"Can't Hurry Love\"","PARI:"
"June 24, 2009","I Move, I Give, I Love","Star Records","\"Power of the Dream\", \"Bagong Umaga\" with Erik Santos & Yeng Constantino","PARI: Gold"
"June 2010","60 Taon ng Musika at Soap Opera","Star Records","\"Crazy For You\"","PARI:"
"November 2010","Ngayong Pasko Magniningning ang Pilipino: Christmas Songs Compilation","Star Records","\"Ganyan ang Pasko\", \"Ngayong Pasko Magniningning ang Pilipino\" (Solo) & with Gary Valenciano","PARI:"
"January 2011","OPM Number 1's Vol. 2","Star Records","\"All Me (Remix)\"","PARI:"
"February 2011","I Love You","Star Records","\"Catch Me I'm Falling\"","PARI:"
"March 5, 2011","Kris Aquino: My Heart’s Journey","Universal Records","\"God Bless the Broken Road\"","PARI: Platinum"
"June 2011","Bida Best Hits Da Best","Star Records","\"Mahal Kita Kasi\", \"Catch Me I'm Falling\", \"You Are The One\" with Sam Milby","PARI:"
"November 12, 2011","Happy Yipee Yehey! Nananana!","Star Records","\"Mahalin Ka Ng Totoo\"","PARI: Gold"
"November 18, 2011","Da Best ang Pasko ng Pilipino","Star Records","\"Ganyan ang Pasko\", \"Ngayong Pasko Magniningning ang Pilipino\" (Solo) & with Gary Valenciano","PARI:"
"January 17, 2013","Himig Handog P-Pop Love Songs 2013","Star Records","\"Kahit Na\"","PARI:"
