Year	Film	Role	Language	Notes
2008	Moggina Manasu	Chanchala	Kannada	Filmfare Award for Best Actress - Kannada\nKarnataka State Film Award for Best Actress
2009	Olave Jeevana Lekkachaara	Rukmini	Kannada	Innovative Film Award for Best Actress
2009	Love Guru	Kushi	Kannada	Filmfare Award for Best Actress - Kannada
2010	Krishnan Love Story	Geetha	Kannada	Filmfare Award for Best Actress - Kannada\nUdaya Award for Best Actress
2010	Gaana Bajaana	Radhey	Kannada	
2011	Hudugaru	Gayithri	Kannada	Nominated, Filmfare Award for Best Actress – Kannada
2012	Alemari	Neeli	Kannada	
2012	Breaking News	Shraddha	Kannada	
2012	Addhuri	Poorna	Kannada	Udaya Award for Best Actress\nNominated — SIIMA Award for Best Actress\nNominated — Filmfare Award for Best Actress – Kannada
2012	18th Cross	Punya	Kannada	
2012	Sagar	Kajal	Kannada	
2012	Drama	Nandini	Kannada	
2013	Kaddipudi	Uma	Kannada	
2013	Dilwala	Preethi	Kannada	
2013	Bahaddoor	Anjali	Kannada	Filming
2014	Mr. & Mrs. Ramachari			Announced
2014	Endendigu			Filming
