Season	Level	Division	Section	Position	Movements
1985	Tier 4	Division 3	Norra Norrland	5th	
1986	Tier 4	Division 3	Norra Norrland	4th	Promoted
1987	Tier 3	Division 2	Norra	5th	
1988	Tier 3	Division 2	Norra	1st	Promoted
1989	Tier 2	Division 1	Norra	3rd	
1990	Tier 2	Division 1	Norra	6th	
1991	Tier 2	Division 1	Norra	1st	Spring
	Tier 2	Division 1	Kvalsvenskan	8th	Autumn
1992	Tier 2	Division 1	Norra	7th	Spring
	Tier 2	Division 1	Norra	8th	Autumn - Relegated
1993	Tier 3	Division 2	Norrland	1st	Promoted
1994	Tier 2	Division 1	Norra	13th	Relegated
1995	Tier 3	Division 2	Norrland	9th	
1996	Tier 3	Division 2	Norrland	8th	
1997	Tier 3	Division 2	Norrland	6th	
1998	Tier 3	Division 2	Norrland	7th	
1999	Tier 3	Division 2	Norrland	3rd	
2000	Tier 3	Division 2	Norrland	8th	
2001	Tier 3	Division 2	Norrland	10th	Relegation Playoffs
2002	Tier 3	Division 2	Norrland	10th	Relegation Playoffs
2003	Tier 3	Division 2	Norrland	10th	Relegation Playoffs
2004	Tier 3	Division 2	Norrland	7th	
2005	Tier 3	Division 2	Norrland	4th	Promoted
2006*	Tier 3	Division 1	Norra	14th	Relegated
2007	Tier 4	Division 2	Norrland	10th	Relegation Playoffs
2008	Tier 4	Division 2	Norrland	12th	Relegated
2009	Tier 5	Division 3	Norra Norrland	8th	
2010	Tier 5	Division 3	Norra Norrland	3rd	
2011	Tier 5	Division 3	Norra Norrland	2nd	Promotion Playoffs
2012	Tier 5	Division 3	Norra Norrland	3rd	
