Rank	Peak Name	Elevation	Location	Notes
1	Saka Haphong/Mowdok Taung	3,465 ft	Thanchi,Bandarban	Unofficially the highest peak of Bangladesh.\n1st summit by English adventurer Ginge Fullen in 2006.
2	Zow Tlang/Mowdok Mual	3,353 ft	Thanchi,Bandarban	Elevation measured during the summit expedition by Travelers of Bangladesh in 2012.
3	Dumlong	3,314 ft	Belaichori,Rangamati	Highest peak in Rangamati.\nElevation measured during the summit expedition by Nature Adventure Club in 2011.
4	Jogi Haphong	3,251 ft	Thanchi,Bandarban	Elevation measured during the summit expedition by Travelers of Bangladesh in 2012.
5	Keokradong	3,235 ft	Ruma,Bandarban	Most popular trekking route in Bangladesh.
6	Rang Tlang	Unmeasured	Belaichori,Rangamati	
7	Thingdawl Te Tlang	3,149 ft	Ruma,Bandarban	Highest peak of Lowmbok row range.\nElevation measured during the summit expedition by BD Explorer in 2012.
8	Mukhra Thuthai haphong	3,129 ft	Belaichori,Rangamati	Elevation measured during the summit expedition by BD Explorer in 2013.
9	Kapital/Capital	3,090 ft	Ruma,Bandarban	This flat mountain top once used as a hide out place by separatist group from Mizoram.
10	Kreikung Taung/Ngaramh Tlang	3,083 ft	Ruma,Bandarban	Elevation measured during the summit expedition by BD Explorer in 2012.
11	Taung Mey	3,060 ft	Ruma,Bandarban	Near Keokradong peak.
12	Laisra Haphong	3,041 ft	Belaichori,Rangamati	Elevation measured during the summit expedition by BD Explorer in 2013.
13	Rang Tlang 2	Unmeasured	Belaichori,Rangamati	
14	Nasai Hum	3,005 ft	Thanchi,Bandarban	Most south-east corner peak of Bangladesh.\nElevation measured during the joint expedition of Sangu source by D-way expeditors & Nature Adventure Club in 2011.
