Date	Location	Venue	Opening act	Supporting
August 11, 1993	Calgary, Alberta, Canada	Max Bell Arena	Cadillac Tramps	
August 12, 1993	Edmonton, Alberta, Canada	Convention Center	Cadillac Tramps	
August 14, 1993	Gimli, Manitoba, Canada	Gimli Motorsport Park		
August 17, 1993	Hull, Quebec, Canada	Robert Guertin Arena	Doughboys	
August 18, 1993	Toronto, Ontario, Canada	Canadian National Exhibition (CNE) Stadium		Neil Young
August 19, 1993	Montreal, Quebec, Canada	Verdun Auditorium	Doughboys	
September 2, 1993	Los Angeles, California	Viper Room	The Darling Buds	
September 4, 1993	Vancouver, British Columbia, Canada	BC Place Stadium		Neil Young
September 4, 1993	Seattle, Washington	Rendezvous Club		
September 5, 1993	George, Washington	The Gorge Amphitheatre	Blind Melon	Neil Young
September 6, 1993	Portland, Oregon	Portland Meadows	Blind Melon	Neil Young
