Rank	Nation	Gold	Silver	Bronze	Total
1	China (CHN)	71	39	35	145
2	South Korea (KOR)	45	30	31	106
3	Thailand (THA)	17	22	18	57
4	Singapore (SIN)	14	18	21	53
5	Japan (JPN)	12	11	10	33
6	Hong Kong (HKG)	7	13	18	38
7	India (IND)	8	7	10	25
8	Chinese Taipei (TPE)	7	13	20	40
9	Kazakhstan (KAZ)	5	10	12	27
10	North Korea (PRK)	5	6	9	20
11	Vietnam (VIE)	5	6	2	13
12	Malaysia (MAS)	4	6	8	18
13	Kuwait (KUW)	4	3	5	12
14	Philippines (PHI)	2	4	1	7
15	Iran (IRI)	1	9	4	14
16	Qatar (QAT)	1	4	0	5
17	Uzbekistan (UZB)	1	2	8	11
18	Indonesia (INA)	1	2	3	6
19	Saudi Arabia (KSA)	1	1	2	4
20	Yemen (YEM)	1	0	1	2
21	Syria (SYR)	1	0	0	1
22	Sri Lanka (SRI)	0	2	7	9
23	Iraq (IRQ)	0	1	1	2
23	Macau (MAC)	0	1	1	2
23	Tajikistan (TJK)	0	1	1	2
26	Jordan (JOR)	0	0	3	3
26	Mongolia (MGL)	0	0	3	3
28	Bahrain (BRN)	0	0	2	2
29	Kyrgyzstan (KGZ)	0	0	1	1
29	Myanmar (MYA)	0	0	1	1
29	Pakistan (PAK)	0	0	1	1
Total	Total	213	211	239	663
