Pos	No	Driver	Team	Laps	Time/Retired	Grid	Points
1	5	Will Power	Team Australia	73	1:45:58.568	7	31
2	21	Neel Jani	PKV Racing	73	+2.972	9	28
3	9	Justin Wilson	RSPORTS	73	+3.480	2	25
4	15	Simon Pagenaud	Team Australia	73	+5.643	4	23
5	19	Bruno Junqueira	Dale Coyne Racing	73	+20.738	5	21
6	14	Robert Doornbos	Minardi Team USA	72	+ 1 Lap	12	19
7	28	Ryan Dalziel	Pacific Coast Motorsports	72	+ 1 Lap	11	17
8	8	Alex Tagliani	RSPORTS	71	+ 2 Laps	6	15
9	1	Sébastien Bourdais	N/H/L Racing	67	Contact	1	16
10	7	Oriol Servia	Forsythe Racing	56	Contact	3	11
11	2	Graham Rahal	N/H/L Racing	52	Contact	15	10
12	4	Dan Clarke	Minardi Team USA	43	Contact	13	9
13	34	Jan Heylen	Conquest Racing	1	Contact	8	8
14	3	Paul Tracy	Forsythe Racing	0	Contact	10	7
15	22	Tristan Gommendy	PKV Racing	0	Contact	14	6
16	11	Katherine Legge	Dale Coyne Racing	0	Contact	16	5
17	29	Alex Figge	Pacific Coast Motorsports	0	Contact	17	4
