Pos	Class	No	Team	Drivers	Chassis	Engine	Laps
21	S\n1.5	42	Automobili O.S.C.A.	Jacques Péron\n Francesco Giardini	O.S.C.A. MT-4 1500	O.S.C.A. 1.5L I4	243
22	S\n5.0	8	David Brown	Reg Parnell\n Roy Salvadori	Aston Martin DB3S SC	Aston Martin 2.9L Supercharged I6	222
23	S\n1.1	63	Lucien Farnaud	Lucien Farnaud\n Adolfo Macchieraldo	O.S.C.A. MT-4 1100	O.S.C.A. 1.1L I4	199
24	S\n750	49	Automobiles VP	Yves Giraud-Cabantous\n Just-Emile Verney	VP 166R	Renault 0.7L I4	190
25	S\n5.0	5	Scuderia Ferrari	Robert Manzon\n Louis Rosier	Ferrari 375 Plus	Ferrari 5.0L V12	177
26	S\n750	58	Automobiles Panhard et Levassor	Pierre Chancel\n Robert Chancel	Monopole X88	Panhard 0.6L Flat-2	157
27	S\n1.5	41	Porsche KG	Hans Herrmann\n Helmut Polensky	Porsche 550/4 RS 1500 Spyder	Porsche 1.5L Flat-4	148
28	S\n3.0	20	David Brown	Prince Birabongse Bhanubandh\n Peter Collins	Aston Martin DB3S Coupe	Aston Martin 2.9L I6	138
29	S\n5.0	15	Jaguar Cars Ltd.	Peter Whitehead\n Ken Wharton	Jaguar D-Type	Jaguar 3.4L I6	131
30	S\n3.0	27	Jean-Paul Colas	Jean-Paul Colas\n Hermano da Silva Ramos	Aston Martin DB2/4 Vignale	Aston Martin 2.9L I6	121
31	S\n5.0	6	Briggs Cunningham	Phil Walters\n John Fitch	Ferrari 375MM	Ferrari 4.5L V12	120
32	S\n2.0	28	Officine Alfieri Maserati	Alfonso de Portago\n Carlo Tomasi	Maserati A6GCS	Maserati 2.0L I6	116
33	S\n2.0	38	Automobiles Frazer Nash Ltd.\n Sture Nottorp	Sture Nottorp\n Ivar Andersson	Frazer Nash Le Mans	Bristol 2.0L I6	109
34	S\n750	52	Ecurie Jeudy-Bonnet	Marc Azéma\n Alphonse de Burnay	DB HBR	Renault 0.7L I4	102
35	S\n2.0	44	Alexandre Constantin	Edmond Mouche\n Alexandre Constantin	Constantin Barquette	Peugeot 1.3L Supercharged I4	95
36	S\n5.0	12	Jaguar Cars Ltd.	Stirling Moss\n Peter Walker	Jaguar D-Type	Jaguar 3.4L I6	92
37	S\n5.0	3	Scuderia Ferrari	Umberto Maglioli\n Paolo Marzotto	Ferrari 375 Plus	Ferrari 5.0L V12	88
38	S\n1.1	46	Kieft Cars Ltd.	Alan Rippon\n William Black	Kieft	Coventry Climax 1.1L I4	86
39	S\n1.1	65	Equipe Gordini	André Pilette\n Gilberte Thirion	Gordini T17S	Gordini 1.1L I4	76
40	S\n3.0	19	Equipe Gordini	Jean Behra\n André Simon	Gordini T24S	Gordini 3.0L I8	76
41	S\n3.0	22	David Brown	Carroll Shelby\n Paul Frére	Aston Martin DB3S	Aston Martin 2.9L I6	74
42	S\n750	50	Guy Michel et André Guillard	Guy Michel\n André Guillard	Renault 4CV	Renault 0.7L I4	73
43	S\n3.0	21	David Brown	Ian Stewart\n Graham Whitehead	Aston Martin DB3S Coupe	Aston Martin 2.9L I6	64
44	S\n5.0	9	Ecurie Rossier	Jean-Louis Rosier\n Pierre Meyrat	Talbot-Lago T26 Gran Sport	Talbot-Lago 4.5L I6	62
45	S\n2.0	31	Equipe Gordini	Charles de Clareur\n André Moynet	Gordini T15	Gordini 2.0L I6	54
46	S\n2.0	37	Automobiles Frazer Nash Ltd.	Rodney F. Peacock\n Gerry A. Ruddock	Frazer Nash Le Mans	Bristol 2.0L I6	49
47	S\n5.0	10	Pierre Levegh	Pierre Levegh\n Lino Fayen	Talbot-Lago T26 Gran Sport	Talbot-Lago 4.4L I6	33
48	S\n1.1	48	Kieft Cars Ltd.	Georges Trouis\n Alfred P. Hitchings	Kieft Sport	MG 1.1L I4	26
49	S\n5.0	7	David Brown	Eric Thompson\n Dennis Poore	Lagonda DP115	Lagonda 4.5L V12	25
50	S\n750	66	Jacques Faucher	Jacques Faucher\n Jean Hébert	Renault 4CV	Renault 0.7L I4	20
51	S\n750	51	Automobiles Deutsch et Bonnet	Pierre-Louis Dreyfus\n Leon Dernier\n Jean Lucas	DB HBR	Renault 0.7L I4	8
52	S\n750	53	Nardi et Co.	Alexandre Gacon\n Dr. Mario Damonte	Nardi 750LM	Crosley 0.7L I4	7
53	S\n5.0	18	Luigi Chinetti	Porfirio Rubirosa\n Innocente Baggio	Ferrari 375MM Berlinetta	Ferrari 4.5L V12	5
54	S\n750	60	Automobiles Panhard et Levassor	Lucien Pailler\n Jacques Dewez	Panhard X88	Panhard 0.6L Flat-2	5
55	S\n1.5	40	Porsche KG	Richard von Frankenberg\n Helm Glöckler	Porsche 550/4 RS 1500 Spyder	Porsche 1.5L Flat-4	4
56	S\n750	64	Ecurie Jeudy-Bonnet	Claude Storez\n Jean-Claude Vidilles\n Jean Lucas	DB HBR	Renault 0.7L I4	4
57	S\n750	61	Automobiles Panhard et Levassor	Eugéne Dussous\n Jacques Savoye	Panhard X84	Panhard 0.6L Flat-2	0
