"Team","Outgoing manager","Manner of departure","Date of vacancy","Replaced by","Date of appointment","Position in table"
"Crystal Palace","Peter Taylor","Contract terminated","8 October 2007","Neil Warnock","11 October 2007","19th"
"Leicester City","Martin Allen","Mutual consent","29 August 2007","Gary Megson","13 September 2007","9th"
"Queens Park Rangers","John Gregory","Contract terminated","1 October 2007","Luigi De Canio","29 October 2007","24th"
"Norwich City","Peter Grant","Mutual consent","8 October 2007","Glenn Roeder","30 October 2007","22nd"
"Leicester City","Gary Megson","Mutual consent (hired by Bolton Wanderers)","24 October 2007","Ian Holloway","22 November 2007","19th"
"Burnley","Steve Cotterill","Mutual consent","8 November 2007","Owen Coyle","22 November 2007","15th"
"Preston North End","Paul Simpson","Contract terminated","13 November 2007","Alan Irvine","20 November 2007","21st"
"Plymouth Argyle","Ian Holloway","Resigned (hired by Leicester City)","21 November 2007","Paul Sturrock","27 November 2007","7th"
"Coventry City","Iain Dowie","Contract terminated","11 February 2008","Chris Coleman","19 February 2008","19th"
"Sheffield United","Bryan Robson","Mutual consent","14 February 2008","Kevin Blackwell","14 February 2008","16th"
"Queens Park Rangers","Luigi De Canio","Mutual consent","8 May 2008","Iain Dowie","14 May 2008","14th"
