"League","League","Position","Teams","Matches","Win","Lose"
"V.League","7th (2000-01)","4th","10","18","9","9"
"V.League","8th (2001-02)","4th","9","16","14","2"
"V.League","9th (2002-03)","3rd","8","21","12","9"
"V.League","10th (2003-04)","Runner-up","10","18","13","5"
"V.League","11th (2004-05)","8th","10","27","11","16"
"V.League","12th (2005-06)","4th","10","27","20","7"
"V・Premier","2006-07","6th","10","27","11","16"
"V・Premier","2007-08","Champion","10","27","23","4"
"V・Premier","2008-09","Champion","10","27","20","7"
"V・Premier","2009-10","Champion","8","28","21","7"
"V・Premier","2010-11","Runner-up","8","26","19","7"
"V・Premier","2011-12","Champion","8","21","18","3"
"V・Premier","2012-13","Runner-up","8","28","20","8"
