"Tablet","Genealogy","Narrative","Colophon"
"1","Creation of Universe 1:1","1:2 to 2:3","\"This is the account of the heavens and of the earth when they were created.\" 2:4"
"2","Heavens and Earth 2:4","2:5 to 4:26","\"This is the written account of Adam.\" 5:1"
"3","Adam to Noah 5:1 - 32","6:1 - 8","\"This is the account of Noah.\" 6:9"
"4","Noah to Shem, Ham, and Japeth 6:9 - 10","6:11 to 9:29","\"This is the account of Shem, Ham, and Japheth, Noah's sons.\" 10:1"
"5","Descendants of Shem, Ham, and Japeth 10:1 - 32","11:1 - 9","\"This is the account of Shem.\" 11:10"
"6","Shem to Terah 11:10 - 26","no narrative","\"This is the account of Terah.\" 11:27"
"7","Terah to Abraham 11:27","11:28 to 25:11","\"This is the account of Abraham's son Ishmael.\" 25:12 (eldest son)"
"8","Descendants of Ishmael 25:13 - 18","no narrative","\"This is the account of Abraham's son Isaac.\" 25:19"
"9","Abraham to Isaac 25:19","25:20 to 35:29","\"This is the account of Esau.\" 36:1 (eldest son)"
"10","Descendants of Esau 36:2 - 5","36:6 - 8","\"This is the account of Esau.\" 36:9"
"11","Descendants of Esau 36:10 to 37:1","no narrative","\"This is the account of Jacob.\" 37:2"
"","no genealogy","37:2 to 50:26","no colophon"
