#	Nation	Qualification Tournament	Place in QT	Sailor
1	China	Host Country		
2	Brazil	2007 Worlds	1	Robert Scheidt, Bruno Prada
3	France	2007 Worlds	2	Xavier Rohart, Pascal Rambeau
4	Great Britain	2007 Worlds	3	Iain Percy, Andrew Simpson
5	New Zealand	2007 Worlds	4	Hamish Pepper, Carl Williams
6	Italy	2007 Worlds	5	Diego Negri, Luigi Viale
7	Poland	2007 Worlds	6	Mateusz Kusznierewicz, Dominik Zycki
8	Germany	2007 Worlds	7	Marc Pickel, Ingo Borkowski
9	Sweden	2007 Worlds	8	Fredrik Lööf, Anders Ekström
10	Australia	2007 Worlds	9	Iain Murray, Andrew Palfrey
11	Portugal	2007 Worlds	10	Afonso Domingos, Bernardo Santos
12	United States	2007 Worlds	11	Mark Reynolds, Hal Haenel
13	Switzerland	2008 Worlds	4	Flavio Marazzi, Enrico De Maria
14	Croatia	2008 Worlds	12	Marin Lovrovic, Sinsa Mikulicic
15	Ireland	2008 Worlds	14	Max Treacy, Anthony Shanks
16	Austria	2008 Worlds	16	Hans Spitzauer, Christian Nehammer
