"Region","Rnd","Host","Venue","City","State"
"East","1","Clemson University","Littlejohn Coliseum","Clemson","South Carolina"
"East","1","Florida State University","Tully Gymnasium","Tallahassee","Florida"
"East","1","Old Dominion University","Old Dominion University Fieldhouse","Norfolk","Virginia"
"East","1","University of Maryland","Cole Field House","College Park","Maryland"
"East","2","Providence College","Alumni Hall (Providence)","Providence","Rhode Island"
"East","2","University of Connecticut","Harry A. Gampel Pavilion","Storrs","Connecticut"
"East","2","University of Tennessee","Thompson-Boling Arena","Knoxville","Tennessee"
"East","2","University of Virginia","University Hall (University of Virginia)","Charlottesville","Virginia"
"Mideast","1","DePaul University","Alumni Hall (DePaul University)","Chicago","Illinois"
"Mideast","1","University of South Carolina","Carolina Coliseum","Columbia","South Carolina"
"Mideast","1","Tennessee Tech","Eblen Center","Cookeville","Tennessee"
"Mideast","1","Vanderbilt University","Memorial Gymnasium (Vanderbilt University)","Nashville","Tennessee"
"Mideast","2","Auburn University","Memorial Coliseum (Beard–Eaves–Memorial Coliseum)","Auburn","Alabama"
"Mideast","2","Northwestern University","Welsh-Ryan Arena","Evanston","Illinois"
"Mideast","2","University of Iowa","Carver–Hawkeye Arena","Iowa City","Indiana"
"Mideast","2","University of Washington","Hec Edmundson Pavilion","Seattle","Washington"
"Midwest","1","Northern Illinois University","Chick Evans Field House","DeKalb","Illinois"
"Midwest","1","Ohio State University","St. John Arena","Columbus","Ohio"
"Midwest","1","University of Southern Mississippi","Reed Green Coliseum","Hattiesburg","Mississippi"
"Midwest","1","Oklahoma State University","Gallagher-Iba Arena","Stillwater","Oklahoma"
"Midwest","2","Louisiana Tech University","Thomas Assembly Center","Ruston","Louisiana"
"Midwest","2","North Carolina State University","Reynolds Coliseum","Raleigh","North Carolina"
"Midwest","2","University of Texas","Frank Erwin Center","Austin","Texas"
"Midwest","2","Purdue University","Mackey Arena","West Lafayette","Indiana"
"West","1","Long Beach State","University Gym (Gold Mine)","Long Beach","California"
"West","1","University of Mississippi","Tad Smith Coliseum","University, Mississippi","Mississippi"
"West","1","University of Montana","Dahlberg Arena","Missoula","Montana"
"West","1","University of Arkansas","Barnhill Arena","Fayetteville","Arkansas"
"West","2","University of Georgia","Georgia Coliseum (Stegeman Coliseum)","Athens","Georgia"
"West","2","Stanford University","Maples Pavilion","Stanford","California"
"West","2","University of Nevada, Las Vegas","South Gym","Paradise","Nevada"
"West","2","Stephen F. Austin University","William R. Johnson Coliseum","Nacogdoches","Texas"
