"Rank","Island","Area
(km²)","Area
(sq mi)","Country/Countries/Region"
"209","Mljet","100","39","Croatia"
"210","Kythnos","99","38","Greece"
"211","Sylt","99","38","Germany"
"212","Askøy","99","38","Norway"
"213","Santa Maria Island","97","37","Portugal"
"214","Astypalaia","97","38","Greece"
"215","Amager","96","37","Denmark"
"216","Ithaki","96","37","Greece"
"217","Borðoy","95","37","Faroe Islands, an autonomous region of  Denmark"
"218","Salamis","95","37","Greece"
"219","Skopelos","95","37","Greece"
"220","Sheppey","94","36","United Kingdom"
"221","Gräsö","93","36","Sweden"
"222","Lemland","92","36","Finland"
"223","Vormsi","92","36","Estonia"
"224","Rab","91","36","Croatia"
"225","Eckerö","91","36","Finland"
"226","Öja (island)","90","35","Finland"
"227","Vis","90","35","Croatia"
"228","Rolvsøy, Finnmark","89","34","Norway"
"229","Tustna","89","34","Norway"
"230","Austra","88","34","Norway"
"231","Holsnøy","88","34","Norway"
"232","Terschelling","88","34","Netherlands"
"233","Ærø","88","34","Denmark"
"234","Belle Île","87","34","France"
"235","Mykonos","86","34","Greece"
"236","Kågen","86","33","Norway"
"237","Île de Ré","85","33","France"
"238","Nordkvaløya","84","33","Norway"
"239","Syros","84","33","Greece"
"240","Aegina","83","32","Greece"
"241","Formentera","83","32","Spain"
"242","Pantelleria","83","32","Italy"
"243","Ytre Vikna (outer island of Vikna archipelago)","83","32","Norway"
"244","Benbecula","82","32","United Kingdom"
"245","Rebbenesøya","82","32","Norway"
"246","Föhr","82","32","Germany"
"247","Tiree","78","30","United Kingdom"
"248","Uløya","78","30","Norway"
"249","Coll","77","30","United Kingdom"
"250","Otrøy (in Møre og Romsdal)","76","29","Norway"
"251","Santorini","76","29","Greece"
"252","Lošinj","75","29","Croatia"
"253","Hertsön","73","28","Sweden"
"254","Serifos","73","29","Greece"
"255","Sifnos","73","29","Greece"
"256","Storlandet (Finnish: Iso-Nauvo) (Nagu/Nauvo main island)","72","29","Finland"
"257","Tåsinge","70","27","Denmark"
"258","Ålön (in Pargas/Parainen)","70","27","Finland"
"259","Engeløya","68","26","Norway"
"260","Finnøya (in Nordland)","68","26","Norway"
"261","Alnön","68","26","Sweden"
"262","Gozo","67","26","Malta"
"263","Kasos","66","26","Greece"
"264","Kyrklandet (in Korpo/Korppoo)","64","25","Finland"
"265","Alonissos","64","25","Greece"
"266","Vågsøy","64","25","Norway"
"267","Frei","63","24","Norway"
"268","Guernsey","63","24","Guernsey, British  Crown dependency"
"269","Ingarö","63","24","Sweden"
"270","Pašman","63","24","Croatia"
"271","Tilos","63","24","Greece"
"272","Raasay","62","24","United Kingdom"
"273","Graciosa Island","62","24","Portugal"
"274","Ljusterö","62","24","Sweden"
"275","Bolshoy Berezovy (in Beryozovye Islands, Gulf of Finland)","60","23","Russia"
"276","Leka","60","23","Norway"
"277","Sula (in Møre og Romsdal)","59","23","Norway"
"278","Barra","59","23","United Kingdom"
"279","Šolta","59","23","Croatia"
"280","Ombo","58","22","Norway"
"281","Ameland","58","22","Netherlands"
"282","Symi","58","22","Greece"
"283","Kivimaa (in Gustavs/Kustavi)","57","22","Finland"
"284","Fanø","56","21.5","Denmark"
"285","Dzharylgach","56","21.5","Ukraine"
"286","Île de Noirmoutier","55.5","21.5","France"
"287","Jøa","55","21","Norway"
"288","Inner-Vikna (inner island of Vikna archipelago)","55","21","Norway"
"289","Hemsön","54","21","Sweden"
"290","Dyrøya","53","20","Norway"
"291","Leros","53","20","Greece"
"292","Pyhämaa (in Nystad/Uusikaupunki)","53","20","Finland"
"293","Vessölandet (in Borgå/Porvoo)","52","20","Finland"
"294","Mörkön","52","20","Sweden"
"295","San Pietro Island","51","20","Italy"
"296","Asinara","51","20","Italy"
"297","Hydra","50","19","Greece"
"298","Sanday, Orkney","50","19","United Kingdom"
"299","Ugljan","50","19","Croatia"
"300","Huftarøy","50","19","Norway"
"301","Storøya","50","19","Svalbard,  Norway"
"302","Wahlbergøya","50","19","Svalbard,  Norway"
"303","South Ronaldsay","50","19","United Kingdom"
