Country	Zone	National Federation	#GM	#FIDE	National Championship
Albania	1.5a	Federata Shqiptare e Shahut [1]	1	45	Albanian Chess Championship
Argentina	2.5	Fed. Argentina de Ajedrez [2]	12	1265	Argentine Chess Championship
Armenia	1.5b	Armenian Chess Federation [3]	20	255	Armenian Chess Championship
Australia	3.6	Australian Chess Federation [4]	2	468	Australian Chess Championship
Austria	1.2a	Österreichischer Schachbund [5]	5	1477	Austrian Chess Championship
Azerbaijan	1.8	Azerbaijan Chess Federation [6]	16	238	Azerbaijani Chess Championship
Bangladesh	3.2	Bangladesh Chess Federation [7]	5	336	Bangladeshi Chess Championship
Belarus	1.8	Belarus Chess Federation [8]	13	425	Belarusian Chess Championship
Belgium	1.1b	Koninklijke Belgische Schaakbond/Fed. Royale Belge des Echecs [9]	4	618	Belgian Chess Championship
Bosnia and Herzegovina	1.2b	Sahovski Savez Bosne i Hercegovine [10]	5	267	Bosnia and Herzegovina Chess Championship
Brazil	2.4	Confed. Brasileira de Xadrez [11]	7	993	Brazilian Chess Championship
Bulgaria	1.4	Българска федерация по шахмат [12]	25	606	Bulgarian Chess Championship
Canada	2.2	Chess Federation of Canada [13]	6	445	Canadian Chess Championship
Chile	2.5	Fed. Deportiva Nacional De Ajedrez	2	729	Chilean Chess Championship
China	3.5	Chinese Chess Association [14]	19	345	Chinese Chess Championship
Colombia	2.3b	Fed. Colombiana de Ajedrez [15]	3	385	Colombian Chess Championship
Costa Rica	2.3c	Federacion Central de Ajedrez [16]	1	88	Costa Rican Chess Championship
Croatia	1.2b	Croatian Chess Federation [17]	29	1317	Croatian Chess Championship
Cuba	2.3a	Fed. Cubana de Ajedrez	13	885	Cuban Chess Championship
Czech Republic	1.4	Šachový svaz České republiky [18]	23	2541	Czech Chess Championship
Denmark	1.3	Dansk Skak Union [19]	8	999	Danish Chess Championship
Ecuador	2.3b	Fed. Ecuatoriana de Ajedrez [20]	1	392	Ecuadorian Chess Championship
Egypt	4.2	Egyptian Chess Federation	2	350	Egyptian Chess Championship
England	1.1a	English Chess Federation [21]	35	1211	British Chess Championship
Estonia	1.7	Eesti Maleliit [22]	4	150	Estonian Chess Championship
Faroe Islands	1.3	Talvsamband Foroya [23]	0	57	Faroe Islands Chess Championship
Fiji	3.6	Fiji Chess Federation [24]	0	9	Fijian Chess Championship
Finland	1.3	Suomen Keskusshakkiliitto [25]	5	437	Finnish Chess Championship
France	1.1b	Fédération Française des Échecs [26]	31	5596	French Chess Championship
Georgia	1.5b	Chess Federation of Georgia	22	352	Georgian Chess Championship
Germany	1.2a	Deutscher Schachbund [27]	66	10897	German Chess Championship
Greece	1.5a	Elliniki Skakistiki Omospondia [28]	10	1252	Greek Chess Championship
Guatemala	2.3.2	Fed. Nac. de Ajedrez de Guatemala	0	43	Guatemalan Chess Championship
Guyana	-	Guyana Chess Federation	-	-	Guyanese Chess Championship
Hong Kong	3.3	Hong Kong Chess Federation	0	22	Hong Kong Chess Championship
Hungary	1.4	Magyar Sakkszovetseg [29]	40	2817	Hungarian Chess Championship
Iceland	1.3	Skaksamband Islands [30]	11	227	Icelandic Chess Championship
India	3.2	All India Chess Federation [31]	15	3154	Indian Chess Championship
Indonesia	3.3	Persatuan Catur Seluruh Indonesia [32]	3	158	Indonesian Chess Championship
Iran	3.1	Chess Fed. of lslamic Rep. of Iran [33]	4	516	Iranian Chess Championship
Iraq	3.1	Iraqi Chess Federation	0	174	Iraqi Chess Championship
Ireland	1.1a	Irish Chess Union [34]	1	139	Irish Chess Championship
Israel	1.2b	Israel Chess Federation [35]	34	717	Israeli Chess Championship
Italy	1.1c	Federazione Scacchistica Italiana [36]	6	2308	Italian Chess Championship
Jamaica	2.3a	Jamaica Chess Federation [37]	0	31	Jamaican Chess Championship
Japan	3.3	Japan Chess Association [38]	0	61	Japanese Chess Championship
Kazakhstan	3.4	Chess Fed. of Rep. of Kazakhstan	10	338	Kazakhstani Chess Championship
Latvia	1.7	Latvijas Saha Savieniba [39]	7	217	Latvian Chess Championship
Lebanon	3.1	Federation Libanaise des Echecs [40]	0	55	Lebanese Chess Championship
Lithuania	1.7	Lietuvos Sachmatu Federacija [41]	6	353	Lithuanian Chess Championship
Luxembourg	1.1b	Federation Luxembourgeoise des Echecs [42]	1	99	Luxembourgian Chess Championship
Malaysia	3.3	Malaysia Chess Federation [43]	0	161	Malaysian Chess Championship
Malta	1.5a	Il-Federazzjoni Maltija tac-Cess [44]	0	32	Maltese Chess Championship
Mexico	2.3c	Fed. Nac. de Ajedrez de Mexico AC [45]	3	553	Mexican Chess Championship
Moldova	1.8	Fed. de Sah a Republicii Moldova [46]	6	283	Moldovan Chess Championship
Mongolia	3.3	Mongolian Chess Federation	2	91	Mongolian Chess Championship
Montenegro	1.5a	Montenegro Chess Federation [47]	6	46	Montenegrin Chess Championship
Morocco	4.1	Fed. Royale Marocaine des Echecs [48]	1	68	Moroccan Chess Championship
Netherlands	1.1b	Koninklijke Nederlandse Schaakbond [49]	19	1553	Dutch Chess Championship
Nepal	3.5	Nepal Chess Association [50]	1	155	Nepal Chess Championship
New Zealand	3.6	New Zealand Chess Federation [51]	1	155	New Zealand Chess Championship
Norway	1.3	Norges Sjakkforbund [52]	9	480	Norwegian Chess Championship
Panama	2.3c	Fed. de Ajedrez de Panama [53]	0	28	Panamanian Chess Championship
Paraguay	2.5	Federacion Paraguaya de Ajedrez [54]	1	146	Paraguayan Chess Championship
Peru	2.4	Federacion Peruana de Ajedrez [55]	1	258	Peruvian Chess Championship
Philippines	3.3	Nat. Chess Fed. of the Philippines website	5	179	Philippine Chess Championship
Palestine	3.1	Palestine Chess Federation	1	33	Palestinian Chess Championship
Poland	1.4	Polish Chess Federation [56]	25	3469	Polish Chess Championship
Portugal	1.1c	Federação Portuguesa de Xadrez [57]	2	678	Portuguese Chess Championship
Puerto Rico	2.3a	Fed. de Ajedrez de Puerto Rico [58]	0	57	Puerto Rican Chess Championship
Qatar	3.1	Qatar Chess Association [59]	2	32	Qatari Chess Championship
Romania	1.4	Federatia Romana de Sah [60]	17	1388	Romanian Chess Championship
Russia	1.6	Russian Chess Federation [61]	174	9853	Russian Chess Championship
Scotland	1.1a	Chess Scotland [62]	5	193	Scottish Chess Championship
Serbia	1.5a	Chess Federation of Serbia [63]	44	2427	Serbian Chess Championship
Seychelles	4.2	Seychelles Chess Federation	0	9	Seychelles Chess Championship
Singapore	3.3	Singapore Chess Federation [64]	4	132	Singaporean Chess Championship
Slovakia	1.4	Slovensky Sachovy Zvaz [65]	9	1152	Slovak Chess Championship
Slovenia	1.2a	Sahovska Zveza Slovenije [66]	5	548	Slovenian Chess Championship
South Africa	4.3	Chess South Africa [67]	0	99	South African Chess Championship
Spain	1.1c	Federacion Espanola de Ajedrez [68]	27	6901	Spanish Chess Championship
Sweden	1.3	Sveriges Schackförbund [69]	16	800	Swedish Chess Championship
Switzerland	1.2a	Schweizerischer Schachbund [70]	7	1015	Swiss Chess Championship
Syria	3.1	Syrian Arab Chess Federation	0	106	Syrian Chess Championship
Tajikistan	3.4	Federazijai Shakhmati Tajikistan	1	17	Tajikistani Chess Championship
Turkey	1.5a	Turkiye Satranc Federasyonu [71]	2	545	Turkish Chess Championship
Ukraine	1.9	Ukrainian Chess Federation [72]	64	1628	Ukrainian Chess Championship
United Arab Emirates	3.1	UAE Chess Federation [73]	1	133	Emirati Chess Championship
United States	2.1	United States Chess Federation [74]	61	1785	U.S. Chess Championship\nU.S. Women's Chess Championship
Uruguay	2.5	Federación Uruguaya de Ajedrez [75]	1	90	Uruguayan Chess Championship
Uzbekistan	3.6	Chess Federation of Uzbekistan [76]	9	168	Uzbekistani Chess Championship
Venezuela	2.3c	Fed. Venezolana de Ajedrez [77]	1	136	Venezuelan Chess Championship
Vietnam	3.3	Lien Doan Co Viet Nam [78]	5	120	Vietnamese Chess Championship
Wales	1.1a	Welsh Chess Union [79]	0	117	Welsh Chess Championship
Zambia	4.3	Chess Federation of Zambia	1	21	Zambian Chess Championship
