"Stage","Date","Route","Terrain","Length","Winner"
"P","1 July","Saint-Brieuc","Individual time trial","7.3 km (4.5 mi)","Jacky Durand (FRA)"
"1","2 July","Dinan – Lannion","Plain stage","233.5 km (145.1 mi)","Fabio Baldato (ITA)"
"2","3 July","Perros-Guirec – Vitre","Plain stage","235.5 km (146.3 mi)","Mario Cipollini (ITA)"
"3","4 July","Mayenne – Alençon","Team time trial","67.0 km (41.6 mi)","Gewiss-Ballan (ITA)"
"4","5 July","Alençon – Le Havre","Plain stage","162.0 km (100.7 mi)","Mario Cipollini (ITA)"
"5","6 July","Fécamp – Dunkerque","Plain stage","261.0 km (162.2 mi)","Jeroen Blijlevens (NED)"
"6","7 July","Dunkerque – Charleroi","Plain stage","202.0 km (125.5 mi)","Erik Zabel (GER)"
"7","8 July","Charleroi – Liège","Hilly stage","203.0 km (126.1 mi)","Johan Bruyneel (BEL)"
"8","9 July","Huy – Seraing","Individual time trial","54.0 km (33.6 mi)","Miguel Indurain (ESP)"
"9","11 July","Le Grand-Bornand – La Plagne","Stage with mountain(s)","160.0 km (99.4 mi)","Alex Zülle (SUI)"
"10","12 July","La Plagne – L'Alpe d'Huez","Stage with mountain(s)","162.5 km (101.0 mi)","Marco Pantani (ITA)"
"11","13 July","Le Bourg-d'Oisans – Saint-Étienne","Hilly stage","199.0 km (123.7 mi)","Maximilian Sciandri (GBR)"
"12","14 July","Saint-Étienne – Mende","Hilly stage","222.5 km (138.3 mi)","Laurent Jalabert (FRA)"
"13","15 July","Mende – Revel","Plain stage","245.0 km (152.2 mi)","Serhiy Utchakov (UKR)"
"14","16 July","Saint-Orens-de-Gameville – Guzet-Neige","Stage with mountain(s)","164.0 km (101.9 mi)","Marco Pantani (ITA)"
"15","18 July","Saint-Girons – Cauterets","Stage with mountain(s)","206.0 km (128.0 mi)","Richard Virenque (FRA)"
"16","19 July","Tarbes – Pau","Stage with mountain(s)","149.0 km (92.6 mi)","Cancelled"
"17","20 July","Pau – Bordeaux","Plain stage","246.0 km (152.9 mi)","Erik Zabel (GER)"
"18","21 July","Montpon-Ménestérol – Limoges","Plain stage","166.5 km (103.5 mi)","Lance Armstrong (USA)"
"19","22 July","Lac de Vassivière – Lac de Vassivière","Individual time trial","46.5 km (28.9 mi)","Miguel Indurain (ESP)"
"20","23 July","Sainte-Geneviève-des-Bois – Paris (Champs-Élysées)","Plain stage","155.0 km (96.3 mi)","Djamolidine Abduzhaparov (UZB)"
