"Game","November","Opponent","Score","Record","Points"
"13","2","@ Florida Panthers","4–3","10–3–0","20"
"14","4","Quebec Nordiques","4–1","11–3–0","22"
"15","6","@ Toronto Maple Leafs","3–5","11–4–0","22"
"16","7","Vancouver Canucks","2–5","11–5–0","22"
"17","10","@ Buffalo Sabres","5–3","12–5–0","24"
"18","11","New Jersey Devils","3–5","12–6–0","24"
"19","13","Buffalo Sabres","2–7","12–7–0","24"
"20","16","@ Pittsburgh Penguins","5–11","12–8–0","24"
"21","18","Hartford Whalers","6–3","13–8–0","26"
"22","20","@ Boston Bruins","5–5 OT","13–8–1","27"
"23","21","New York Islanders","4–5 OT","13–9–1","27"
"24","24","Montreal Canadiens","9–2","14–9–1","29"
"25","26","Tampa Bay Lightning","3–0","15–9–1","31"
"26","27","@ Tampa Bay Lightning","4–3 OT","16–9–1","33"
