"Year","Australian Open","French Open","Wimbledon","US Open"
"1889","started in 1922","started in 1925","started in 1913","Bertha Townsend
 Margarette Ballard"
"1890","tournament not created","tournament not created","tournament not created","Ellen Roosevelt
 Grace Roosevelt"
"1891","tournament not created","tournament not created","tournament not created","Mabel Cahill (1/2)
 Emma Leavitt-Morgan"
"1892","tournament not created","tournament not created","tournament not created","Mabel Cahill (2/2)
 Adeline McKinlay"
"1893","tournament not created","tournament not created","tournament not created","Aline Terry
 Hattie Butler"
"1894","tournament not created","tournament not created","tournament not created","Helen Hellwig (1/2)
 Juliette Atkinson (1/7)"
"1895","tournament not created","tournament not created","tournament not created","Helen Hellwig (2/2)
 Juliette Atkinson (2/7)"
"1896","tournament not created","tournament not created","tournament not created","Elisabeth Moore (1/2)
 Juliette Atkinson (3/7)"
"1897","tournament not created","tournament not created","tournament not created","Juliette Atkinson (4/7)
 Kathleen Atkinson (1/2)"
"1898","tournament not created","tournament not created","tournament not created","Juliette Atkinson (5/7)
 Kathleen Atkinson (2/2)"
"1899","tournament not created","tournament not created","tournament not created","Jane Craven
 Myrtle McAteer (1/2)"
"1900","tournament not created","tournament not created","tournament not created","Edith Parker
 Hallie Champlin"
"1901","tournament not created","tournament not created","tournament not created","Juliette Atkinson (6/7)
 Myrtle McAteer (2/2)"
"1902","tournament not created","tournament not created","tournament not created","Juliette Atkinson (7/7)
 Marion Jones"
"1903","tournament not created","tournament not created","tournament not created","Elisabeth Moore (2/2)
 Carrie Neely (1/3)"
"1904","tournament not created","tournament not created","tournament not created","May Sutton Bundy
 Miriam Hall"
"1905","tournament not created","tournament not created","tournament not created","Helen Homans
 Carrie Neely (2/3)"
"1906","tournament not created","tournament not created","tournament not created","Ann Burdette Coe
 Ethel Bliss Platt"
"1907","tournament not created","tournament not created","tournament not created","Marie Wimer
 Carrie Neely (3/3)"
"1908","tournament not created","tournament not created","tournament not created","Evelyn Sears
 Margaret Curtis"
"1909","tournament not created","tournament not created","tournament not created","Hazel Hotchkiss Wightman (1/7)
 Edith Rotch (1/2)"
"1910","tournament not created","tournament not created","tournament not created","Hazel Hotchkiss Wightman (2/7)
 Edith Rotch (2/2)"
"1911","tournament not created","tournament not created","tournament not created","Hazel Hotchkiss Wightman (3/7)
 Eleanora R. Sears (1/4)"
"1912","tournament not created","tournament not created","tournament not created","Mary Browne (1/6)
 Dorothy Green"
"1913","tournament not created","tournament not created","Winifred McNair
 Dora Boothby","Mary Browne (2/6)
 Louise Riddell Williams (1/3)"
"1914","tournament not created","tournament not created","Agatha Morton
 Elizabeth Ryan (1/17)","Mary Browne (3/6)
 Louise Riddell Williams (2/3)"
"1915","tournament not created","tournament not created","no competition","Hazel Hotchkiss Wightman (4/7)
 Eleanora R. Sears (2/4)"
"1916","tournament not created","tournament not created","no competition","Molla Bjurstedt (1/2)
 Eleanora R. Sears (3/4)"
"1917","tournament not created","tournament not created","no competition","Molla Bjurstedt (2/2)
 Eleanora R. Sears (4/4)"
"1918","tournament not created","tournament not created","no competition","Marion Zinderstein Jessup (1/4)
 Eleanor Goss (1/4)"
"1919","tournament not created","tournament not created","Suzanne Lenglen (1/8)
 Elizabeth Ryan (2/17)","Marion Zinderstein Jessup (2/4)
 Eleanor Goss (2/4)"
"1920","tournament not created","tournament not created","Suzanne Lenglen (2/8)
 Elizabeth Ryan (3/17)","Marion Zinderstein Jessup (3/4)
 Eleanor Goss (3/4)"
"1921","tournament not created","tournament not created","Suzanne Lenglen (3/8)
 Elizabeth Ryan (4/17)","Mary Browne (4/6)
 Louise Riddell Williams (3/3)"
