Year	Name	Year	Name	Year	Name
1903-04	Mr B. Owen- Jones	1935-36	Mr W.Pearce	1967-68	Mr J.F.Serfontein
1904-05	Mr B. Owen- Jones	1936-37	Mr W.Pearce	1968-69	Mr Ben Steyn
1905-06	Mr G. Constable	1937 -38		1969-70	
1907-08	Mr T.R.Ziervogel	1939 -40	Mr W.E.Vickers	1971-72	Mr Chris Smith
1908-09	Mr T.R.Ziervogel	1940-41	Mr P.Venter	1972-73	Mr Ben Steyn
1909-10	Mr J.Morris	1941-42	Mr P.Venter	1973-74	Mr Issy Kramer
1910-11		1942-43	Mr P.Venter	1974-75	
1911-12	Mr B.Owen- Jones	1943-44	Mr P.Venter	1975-76	Mr Sakkie Blanche
1912-13	Mr J.Johnston	1944-45	Mrs E.Myer	1977-78	Mr Sakkie Blanche
1913-14	Mr J.Cook	1945-46	Mrs E.Myer	1978-79	
1914-15	Mr J.Cook	1946-47	Mrs E.Myer	1979 -80	Mr Kobus Durand
1915-16	Mr R.Champion	1947-48	Mr C.Chambers	1980-81	Mr Meyer
1916-17	Mr R.Champion	1948-49	Mrs S.Von Wielligh	1981-82	Mr Wiek Steyn
1917-18	Mr A.Ruffels	1949-50	Mr A.J.Law	1982-83	Mr Andrew Wheeler
1918-19	Mr J.Campbell	1950-51	Mr P.Venter	1983-84	
1919-20	Mr B.Melman	1951-52	Mr P.Venter	1984-85	
1920-21	Mr B.Melman	1952-53	Mr Vic Pretorius	1985-86	Mr J.Prins
1921-21	Mr B.Melman	1953-54	Mr Vic Pretorius	1986-87	
1922-23	Mr J.Campbell	1954-55		1987-88	
1923-24		1954-56	Mr J.H.A.Roets	1988-89	Mr Beyers De Klerk
1924-25	Mr E.Murton	1956-57	Mr P.H.Tredoux	1989-90	Mr Gerrie Wolmarans
1925-26	Mr S.Steenberg	1957- 58		1990-91	Mr Gerrie Wolmarans
1926-27		1958-59	Mr J.M.Cawood	1991-92	Mr TJ Ferreira
1927-28	Mr J.Stanbury	1959-60	Mr A.P.Scribante	1992-93	Mr Gerrie Wolmarans
1928-29	Mr E.Murton	1960-61	Mr J.L.Viljoen	1993-94	Mr TJ Ferreira
1929-30	Mr K.Turner	1961-62	Mr J.L.Viljoen		
1930-31	Mr J.E.Bigwood	1962-63	Mrs S.Von Wielligh		
1931-32	Mr A.Zaretsky	1963-64	Mr F.J.Van Heerden		
1932-33	Mr G.J.Malan	1964-65			
1933-34		1965-66			
1934-34		1966-67	Mr H.McLennan		
