Place	Player	Country	Score	To par	Money ($)
1	Larry Nelson	United States	70-66-66-71=273	−7	60,000
2	Fuzzy Zoeller	United States	70-68-68-71=277	−3	40,000
3	Dan Pohl	United States	69-67-73-69=278	−2	25,000
T4	Isao Aoki	Japan	75-68-66-70=279	−1	13,146
T4	Keith Fergus	United States	71-71-69-68=279	−1	13,146
T4	Bob Gilder	United States	74-69-70-66=279	−1	13,146
T4	Tom Kite	United States	71-67-69-72=279	−1	13,146
T4	Bruce Lietzke	United States	70-70-71-68=279	−1	13,146
T4	Jack Nicklaus	United States	71-68-71-69=279	−1	13,146
T4	Greg Norman	Australia	73-67-68-71=279	−1	13,146
