"name","pos.","caps","goals","club"
"Olle Åhlund","MF","6","0","Degerfors IF"
"Henry Andersson","GK","2","0","IFK Göteborg"
"Bertil Bäckvall","FW","1","0","Hammarby IF Stockholm"
"Henry \"Garvis\" Carlsson","FW","5","4","AIK Solna"
"Arvid \"Emma\" Emanuelsson","MF","5","0","IF Elfsborg Borås"
"Rune \"Killing\" Emanuelsson","MF/DF","3","0","IFK Göteborg"
"Karl-Erik Grahn","MF","4","1","IF Elfsborg Borås"
"Gunnar \"Il Professore\" Gren","FW","6","9","IFK Göteborg"
"Erik \"Mulle\" Holmqvist","FW","2","1","IFK Norrköping"
"Oskar \"Masse\" Holmqvist","DF","2","0","IFK Norrköping"
"Ove Karlsson-Widricks","DF","1","0","AIK Solna"
"Börje Leander","DF/MF","4","0","AIK Solna"
"Gösta Malm","DF","2","0","IFK Norrköping"
"Malte \"Svarta Blixten\" Mårtensson","FW","1","0","Hälsingborgs IF"
"Harry Nilsson","DF","6","0","AIK Solna"
"Stellan Nilsson","FW","2","1","Malmö FF"
"Bertil Nordahl","DF/MF","2","0","Degerfors IF"
"Gunnar Nordahl","FW","5","6","IFK Norrköping"
"Knut Nordahl","FW","2","0","IFK Norrköping"
"Arne Nyberg","FW","6","4","IFK Göteborg"
"Stig Nyström","FW","1","1","Djurgårdens IF Stockholm"
"Vincent Persson","FW","1","1","Degerfors IF"
"Birger \"Bian\" Rosengren","MF","1","0","IFK Norrköping"
"Carl-Erik \"Pigge\" Sandberg","FW","1","0","Malmö FF"
"Carl \"Timpa\" Simonsson","FW","1","0","Jönköpings Södra IF"
"Gustav \"Gurra\" Sjöberg","GK","6","0","AIK Solna"
"Börje Tapper","FW","1","5","Malmö FF"
"Lennart \"Skinnet\" Wigren","MF","1","0","IFK Norrköping"
