"Year","Record","Finish","Manager","Playoffs"
"1961","68-86","6th","Tommy Heath / Bill Werle","none"
"1962","77-76","5th","Irv Noren","none"
"1963","81-77","4th","Irv Noren",""
"1964","60-98","10th","Bob Lemon",""
"1965","75-72","6th (t)","George Case",""
"1966","63-84","10th","George Case",""
"1967","60-87","12th","Wayne Terwilliger",""
"1968","78-69","3rd","Bill Adair",""
"1969","74-72","4th","Chuck Tanner",""
"1970","98-48","1st","Chuck Tanner","Lost League Finals"
"1971","73-73","4th (t)","Bill Adair",""
"1972","74-74","5th","Rocky Bridges",""
"1973","70-74","5th","Rocky Bridges / Warren Hacker / Roy Hartsfield",""
"1974","67-77","6th","Roy Hartsfield",""
"1975","88-56","1st","Roy Hartsfield","League Champs"
"1976","77-68","2nd","Roy Hartsfield","League Champs"
"1977","79-67","2nd","Dick Phillips","Lost League Finals"
"1978","56-82","8th","Dick Phillips",""
"1979","72-76","8th","Dick Phillips","Lost League Finals"
"1980","76-65","5th","Doug Rader","Lost League Finals"
"1981","72-65","3rd (t)","Doug Rader","Lost in 1st round"
"1982","73-71","5th","Doug Rader",""
"1983","72-71","5th","Tom Trebelhorn",""
"1984","87-53","1st","Tommy Sandt","Lost League Finals"
"1985","84-59","1st","Tommy Sandt","Lost in 1st round"
"1986","65-79","9th","Tommy Sandt",""
"1987","65-75","9th","Bob Bailey",""
