Year	Division	League	Reg. Season	Playoffs
2003	2	USL W-League	5th, Western	
2004	1	USL W-League	8th, Western	
2005	1	USL W-League	6th, Western	
2006	1	USL W-League	5th, Western	
2007	1	USL W-League	5th, Western	
2008	1	USL W-League	6th, Western	Did not qualify
2009	1	USL W-League	7th, Western	Did not qualify
2010	1	USL W-League	6th, Western	Did not qualify
2011	1	USL W-League	7th, Western	Did not qualify
2012	1	USL W-League	4th, Western	Did not qualify
2013	1	USL W-League	4th, Western	Did not qualify
