| Name                       |   | Local names                         | Sort         | Canton(s), neighboring countries          | Area in km² | Elevation m | max. depth in meter |
| Lake Geneva                |   | Lac Léman, Lac de Genève            | Geneva       | Geneva, Vaud, Valais, France              | 580.03      | 372.0       | 310                 |
| Lake Constance             |   | Bodensee                            | Constance    | St. Gallen, Thurgau, Austria, Germany     | 536.00      | 395.6       | 252                 |
| Lake Neuchâtel             |   | Lac de Neuchâtel, Neuenburgersee    | Neuchâtel    | Berne, Fribourg, Neuchâtel, Vaud          | 215.20      | 429.4       | 153                 |
| Lake Maggiore              |   | Lago Maggiore                       | Maggiore     | Ticino, Italy                             | 210.12      | 193.5       | 372                 |
| Lake Lucerne               |   | Vierwaldstättersee                  | Lucerne      | Lucerne, Nidwalden, Obwalden, Schwyz, Uri | 113.72      | 433.6       | 214                 |
| Lake Zurich                |   | Zürichsee                           | Zurich       | St. Gallen, Schwyz, Zurich                | 88.17       | 405.9       | 136                 |
| Lake Lugano                |   | Ceresio, Lago di Lugano             | Lugano       | Ticino, Italy                             | 48.67       | 270.5       | 288                 |
| Lake Thun                  |   | Thunersee                           | Thun         | Berne                                     | 47.74       | 557.8       | 215                 |
| Lake Biel                  |   | Lac de Bienne, Bielersee            | Biel/Bienne  | Berne, Neuchâtel                          | 39.51       | 429.1       | 74                  |
| Lake Zug                   |   | Zugersee                            | Zug          | Lucerne, Schwyz, Zug                      | 38.41       | 413.6       | 198                 |
| Lake Brienz                |   | Brienzersee                         | Brienz       | Berne                                     | 29.81       | 563.7       | 260                 |
| Lake Walen                 |   | Walensee                            | Walen        | Glarus, St. Gallen                        | 24.16       | 419.0       | 150                 |
| Lake Murten                |   | Murtensee, Lac de Morat             | Murten       | Fribourg, Vaud                            | 22.80       | 429.2       | 46                  |
| Lake Sempach               |   | Sempachersee                        | Sempach      | Lucerne                                   | 14.36       | 503.8       | 87                  |
| Sihlsee                    |   | Sihlsee                             | Sihl         | Schwyz                                    | 10.72       | 889         | 23                  |
| Lake Hallwil               |   | Hallwilersee                        | Hallwil      | Aargau, Lucerne                           | 10.21       | 448.7       | 47                  |
| Lac de la Gruyère          | ↑ | Lac de la Gruyère                   | Gruyère      | Fribourg                                  | 9.60        | 677         | 75                  |
| Lac de Joux and Lac Brenet | * | Lac de Joux and Lac Brenet          | Joux         | Vaud                                      | 9.56        | 1004        | 34                  |
| Greifensee                 |   | Greifensee                          | Greifensee   | Zurich                                    | 8.17        | 435.1       | 34                  |
| Lake Sarnen                |   | Sarnersee                           | Sarnen       | Obwalden                                  | 7.38        | 468.4       | 52                  |
| Ägerisee                   |   | Ägerisee                            | Aegeri       | Zug                                       | 7.25        | 723.9       | 82                  |
| Lake Baldegg               |   | Baldeggersee                        | Baldegg      | Lucerne                                   | 5.24        | 463.0       | 66                  |
| Lago di Livigno            | ↑ | Lago di Livigno                     | Livignio     | Italy, Grisons                            | 4.71        | 1805        | 119                 |
| Schiffenensee              | ↑ | Schiffenensee, Lac de Schiffenen    | Schiffenen   | Fribourg                                  | 4.25        | 532         | 38                  |
| Wägitalersee               | ↑ | Wägitalersee                        | Waegital     | Schwyz                                    | 4.18        | 900         | 65                  |
| Lago di Lei                | ↑ | Lago di Lei                         | Lei          | Italy, Grisons                            | 4.12        | 1931        | 133                 |
| Lake Sils                  |   | Silsersee, Lej da Segl              | Sils         | Grisons                                   | 4.1         | 1797        | 71                  |
| Lac des Dix                | ↑ | Lac des Dix                         | Dix          | Valais                                    | 3.65        | 2365        | 227                 |
