"MAINLAND","Area
(sq miles)","Area
(km²)","Population
(2011)","Density
(per km²)"
"Aberdeen City","70","182","222,800","1224"
"Aberdeenshire","2,439","6,317","253,000","40"
"Angus","843","2,184","116,000","53"
"Argyll and Bute","2,712","7,023","88,200","13"
"Clackmannanshire","61","158","51,400","325"
"Dumfries and Galloway","2,489","6,446","151,300","23"
"Dundee City","21","55","147,300","2678"
"East Ayrshire","492","1,275","122,700","96"
"East Dunbartonshire","68","176","105,000","597"
"East Lothian","257","666","99,700","150"
"East Renfrewshire","65","168","90,600","539"
"City of Edinburgh","100","260","476,600","1833"
"Falkirk","113","293","156,000","532"
"Fife","517","1,340","365,200","273"
"Glasgow City","68","175","593,200","3390"
"Highland","10,085","26,119","232,100","9"
"Inverclyde","64","167","81,500","488"
"Midlothian","135","350","83,200","238"
"Moray","864","2,237","93,300","42"
"North Ayrshire","343","888","138,200","156"
"North Lanarkshire","184","476","337,800","710"
"Perth and Kinross","2,083","5,395","146,700","27"
"Renfrewshire","102","263","174,900","665"
"Scottish Borders","1,825","4,727","113,900","24"
"South Ayrshire","475","1,230","112,800","92"
"South Lanarkshire","686","1,778","313,800","176"
"Stirling","866","2,243","90,200","40"
"West Dunbartonshire","68","176","90,700","515"
"West Lothian","165","427","175,100","410"
"TOTAL MAINLAND","28,260","73,193","5,223,100","71"
"ISLANDS","","","",""
"Na h-Eileanan Siar","1,185","3,070","27,700","8"
"Orkney Islands","396","1,025","21,400","21"
"Shetland Islands","568","1,471","23,200","15"
"TOTAL ISLANDS","2,149","5,566","72,300","13"
"TOTAL SCOTLAND","30,409","78,759","5,295,400","67"
