City	Country	Airport	Begin	End
Aberdeen	United Kingdom	Aberdeen Airport	1999	—
Ålesund	Norway	Ålesund Airport, Vigra	1971	—
Alta	Norway	Alta Airport	1974	—
Bergen	Norway	Bergen Airport, Flesland	1971	—
Berlin	Germany	Berlin Tempelhof Airport	1997	2001
Båtsfjord	Norway	Båtsfjord Airport	1990	1999
Båtsfjord	Norway	Båtsfjord Airport	1999	—
Bodø	Norway	Bodø Airport	1968	—
Brønnøysund	Norway	Brønnøysund Airport, Brønnøy	1968	—
Berlevåg	Norway	Berlevåg Airport	1974	—
Copenhagen	Denmark	Copenhagen Airport	1989	—
Edinburgh	United Kingdom	Edinburgh Airport	2006	2011
Fagernes	Norway	Fagernes Airport, Leirin	1999	2000
Florø	Norway	Florø Airport	1971*	—
Førde	Norway	Førde Airport, Bringeland	1986	—
Førde	Norway	Førde Airport, Øyrane	1971	1986
Glasgow	United Kingdom	Glasgow International Airport	1997	1999
Gothenburg	Sweden	Gothenburg-Landvetter Airport	1996	—
Hemavan	Sweden	Hemavan Airport	1995	1995
Hammerfest	Norway	Hammerfest Airport	1974	—
Haugesund	Norway	Haugesund Airport, Karmøy	2010	—
Honningsvåg	Norway	Honningsvåg Airport	1977	—
Harstad/Narvik	Norway	Harstad/Narvik Airport, Evenes	1975*	—
Hasvik	Norway	Hasvik Airport	1990	—
Kirkenes	Norway	Kirkenes Airport, Høybuktmoen	1974	—
Kristiansand	Norway	Kristiansand Airport, Kjevik	1991*	—
Kristiansund	Norway	Kristiansund Airport, Kvernberget	1971*	—
Lakselv	Norway	Lakselv Airport, Banak	1974	—
Leknes	Norway	Leknes Airport	1972	—
Lerwick	United Kingdom	Sumburgh Airport	1995*	2005
London	United Kingdom	London Stansted Airport	1989	1992
Mehamn	Norway	Mehamn Airport	1974	—
Mo i Rana	Norway	Mo i Rana Airport, Røssvoll	1968	—
Mosjøen	Norway	Mosjøen Airport, Kjærstad	1987	—
Molde	Norway	Molde Airport, Årø	1972*	—
Murmansk	Russia	Murmansk Airport	1994	2000
Narvik	Norway	Narvik Airport, Framnes	1975*	—
Namsos	Norway	Namsos Airport, Høknesøra	1968	—
Newcastle	United Kingdom	Newcastle Airport	2006	—
Ørland	Norway	Ørland Airport	1971	1987
Ørsta/Volda	Norway	Ørsta–Volda Airport, Hovden	1971	—
Oslo	Norway	Oslo Airport, Fornebu	1974	1998
Oslo	Norway	Oslo Airport, Gardermoen	1998	—
Rønne	Denmark	Bornholm Airport	2007	—
Røros	Norway	Røros Airport	2001*	—
Rørvik	Norway	Rørvik Airport, Ryum	1988	—
Røst	Norway	Røst Airport	1986*	—
Sandane	Norway	Sandane Airport, Anda	1975	—
Sandefjord	Norway	Sandefjord Airport, Torp	1989	—
Sandnessjøen	Norway	Sandnessjøen Airport, Stokka	1968	—
Skien	Norway	Skien Airport, Geiteryggen	1989*	—
Sogndal	Norway	Sogndal Airport, Haukåsen	1971	—
Sørkjosen	Norway	Sørkjosen Airport	1974	—
Stavanger	Norway	Stavanger Airport, Sola	1989	—
Stockholm	Sweden	Stockholm-Arlanda Airport	1999	2006
Stokmarknes	Norway	Stokmarknes Airport, Skagen	1972	—
Svolvær	Norway	Svolvær Airport, Helle	1972	—
Tromsø	Norway	Tromsø Airport	1974	—
Trondheim	Norway	Trondheim Airport, Værnes	1968	—
Umeå	Sweden	Umeå Airport	1995	1995
Værøy	Norway	Værøy Airport	1986	1990
Vadsø	Norway	Vadsø Airport	1974	—
Vardø	Norway	Vardø Airport	1990	—
Visby	Sweden	Visby Airport	2004	—
