Season	Team	Country	Division	Apps	Goals
2004	CSKA Moscow	Russia	1	0	0
2005	CSKA Moscow	Russia	1	0	0
2006	Spartak Nizhny Novgorod	Russia	2	36	1
2006/07	Dnipro Dnipropetrovsk	Ukraine	1	12	0
2007/08	Dnipro Dnipropetrovsk	Ukraine	1	24	0
2008/09	Dnipro Dnipropetrovsk	Ukraine	1	22	1
2009/10	Dnipro Dnipropetrovsk	Ukraine	1	28	0
2010/11	Dnipro Dnipropetrovsk	Ukraine	1	23	0
2011/12	Dnipro Dnipropetrovsk	Ukraine	1	16	0
2012/13	Dnipro Dnipropetrovsk	Ukraine	1	10	1
2012/13	Lokomotiv Moscow	Russia	1	8	0
2013/14	Lokomotiv Moscow	Russia	1	14	1
