Party	Candidate(s)	Votes	Percentage
UUP	Peter Weir\nAlan McFarland\nRoy Bradford\nJohn Shields\nIrene Cree	9,270	25.6
UK Unionist	Robert McCartney\nValerie Kinghan\nPatricia Watson	7,579	20.9
DUP	St Clair McAlister\nRuby Cooling\nCecil Noble	6,699	18.5
Alliance	Oliver Napier\nBrian Wilson\nEileen Bell\nLarry Thompson\nJane Copeland	6,186	17.1
SDLP	Owen Adams\nJohn Burke	1,798	5.0
PUP	Victor Ash\nSamuel Curry\nNeil Mehaffy\nKenneth Sterrit	1,694	4.7
Ulster Democratic	James McCullough\nThomas Lindsay	651	1.8
NI Women's Coalition	Emma McGuigan\nAnn Marie Foster\nJane Morrice	496	1.4
Conservative	Ann Thompson\nBruce Mulligan	444	1.2
Independent Chambers	Alan Chambers\nJames Arbuthnot\nRobert Irvine	334	0.9
Green (NI)	Paddy McEvoy\nMary Ringland	283	0.8
Sinn Féin	Mairtin O Mulleoir\nJohn Smith	275	0.8
Labour coalition	John Magennis\nSean McGouran	171	0.5
Independent DUP	Thomas O'Brien\nWilliam Baxter	97	0.3
Democratic Left	Daryl Armitage\nTim Davis	95	0.3
Workers' Party	Dessie O'Hagan\nColum Mullan	60	0.2
Ulster Independence	Geoffrey Watson\nGlenn Pollock	49	0.1
Independent Voice	Christopher Carter\nFidelma Carter	49	0.1
Natural Law	Peter McGowan\nThomas Mullins	15	0.0
