"Position","Team","Points","Played","Won","Drawn","Lost","For","Against","Difference"
"1","Paulistano","30","18","14","2","2","62","19","43"
"2","Palestra Itália-SP","29","18","14","1","3","59","21","38"
"3","Corinthians","26","18","12","2","4","51","16","35"
"4","Ypiranga-SP","25","18","11","3","4","56","34","22"
"5","AA São Bento","16","18","7","2","9","38","44","-6"
"6","Santos","13","18","6","1","11","36","43","-7"
"7","SC Internacional de São Paulo","11","15","3","5","7","26","44","-18"
"8","Minas Gerais","10","15","4","2","9","18","49","-31"
"9","AA das Palmeiras","6","15","3","0","12","27","57","-30"
"10","Mackenzie","2","15","1","0","14","11","57","-46"
