Date	Time		Score		Set 1	Set 2	Set 3	Set 4	Set 5	Total	Report
17 Nov	14:00	Canada	3–0	Kazakhstan	25–21	26–24	25–21			76–66	P2 P3
17 Nov	16:00	Russia	0–3	Serbia and Montenegro	22–25	18–25	23–25			63–75	P2 P3
17 Nov	18:00	Tunisia	3–2	South Korea	25–22	24–26	17–25	28–26	15–13	109–112	P2 P3
18 Nov	14:00	Russia	3–0	Tunisia	25–15	29–27	25–20			79–62	P2 P3
18 Nov	16:00	Serbia and Montenegro	3–1	Kazakhstan	25–16	22–25	25–18	25–22		97–81	P2 P3
18 Nov	18:10	South Korea	1–3	Canada	28–26	23–25	16–25	23–25		90–101	P2 P3
19 Nov	14:00	Kazakhstan	1–3	South Korea	22–25	25–23	18–25	21–25		86–98	P2 P3
19 Nov	16:15	Tunisia	0–3	Serbia and Montenegro	21–25	12–25	23–25			56–75	P2 P3
19 Nov	18:00	Canada	0–3	Russia	19–25	20–25	21–25			60–75	P2 P3
21 Nov	14:00	Tunisia	2–3	Canada	15–25	29–27	25–21	21–25	13–15	103–113	P2 P3
21 Nov	16:35	Serbia and Montenegro	3–1	South Korea	25–22	23–25	25–21	25–18		98–86	P2 P3
21 Nov	18:50	Russia	3–0	Kazakhstan	25–16	25–18	25–18			75–52	P2 P3
22 Nov	14:00	Kazakhstan	0–3	Tunisia	19–25	23–25	24–26			66–76	P2 P3
22 Nov	16:00	Canada	0–3	Serbia and Montenegro	18–25	18–25	17–25			53–75	P2 P3
22 Nov	18:00	South Korea	0–3	Russia	13–25	21–25	13–25			47–75	P2 P3
