Year	Miss Northern Ireland	Hometown	Placement at Miss World	Notes
2012	Tiffany Brien	Belfast	Top 30	Top 10 of Beach Fashion and 1st runner-up of Sports & Fitness at Miss World 2012
2011	Finola Guinnane	Drumbo	Non-Finalist	Top 20 of Beach Beauty and Top 77 of Beauty with a Purpose at Miss World 2011
2010	Lori Moore	Belfast	Top 25	Winner of Sports at Miss World 2010
2009	Cherie Gardiner	Bangor	Non-Finalist	
2008	Judith Wilson	Enniskillen	Non-Finalist	Top 19 of Talent at Miss World 2008
2007	Melissa Patton	Belfast	Non-Finalist	
2006	Catherine Jean Milligan	Newtownards	Top 17	Winner of Miss Talent at Miss World 2006
2005	Lucy Evangelista	Portglenone	Top 15	Later Miss United Kingdom 2005 and Miss Universe United Kingdom 2005 2nd runner-up
2004	Kirsty Anne Gabriel Stewart	Enniskillen	Non-Finalist	
2003	Diana Sayers	Belfast	Non-Finalist	
2002	Gayle Williamson	Lurgan	Non-Finalist	Later Miss United Kingdom 2002
2001	Angela McCarthy	Belfast	Non-Finalist	
2000	Julie Lee-Ann Martin	Belfast	Non-Finalist	
