"Month","Day","Visitor","Score","Home","Score"
"Dec.","28","Spokane","5","Portland","4"
"Jan.","1","Portland","7","Seattle","4"
"Jan.","4","Vancouver","3","Portland","5"
"Jan.","8","Seattle","1","Spokane","5"
"Jan.","11","Spokane","1","Seattle","3"
"Jan.","14","Portland","4","Vancouver","5"
"Jan.","16","Vancouver","3","Seattle","12"
"Jan.","18","Portland","3","Spokane","5"
"Jan.","22","Vancouver","8","Spokane","5"
"Jan.","25","Spokane","5","Portland","4"
"Jan.","28","Seattle","2","Vancouver","3"
"Jan.","30","Spokane","2","Seattle","4"
"Feb.","4","Seattle","5","Vancouver","6 (10:45 OT)"
"Feb.","6","Portland","3","Seattle","9"
"Feb.","8","Vancouver","4","Portland","8"
"Feb.","11","Portland","3","Vancouver","6"
"Feb.","13","Vancouver","1","Seattle","3"
"Feb.","15","Seattle","2","Portland","4"
"Feb.","18","Seattle","1","Vancouver","8"
"Feb.","20","Portland","2","Seattle","6"
"Feb.","22","Vancouver","1","Portland","2 (20:20 OT)"
"Feb.","25","Portland","4","Vancouver","9"
"Feb.","27","Vancouver","1","Seattle","2 (22:20 OT)"
"March","1","Seattle","3","Portland","1"
"March","4","Portland","4","Vancouver","8"
"March","6","Vancouver","3","Seattle","4 (2:58 OT)"
"March","8","Seattle","6","Portland","9"
