Result	Date	Category	Tournament	Surface	Partnering	Opponents	Score
Runner-up	10 December 1978	$75,000	Sydney, Australia	Grass	Judy Chaloner	Kerry Reid\n Wendy Turnbull	2–6, 6–4, 2–6
Runner-up	8 November 1981	$50,000	Hong Kong	Clay	Susan Leo	Ann Kiyomura\n Sharon Walsh	3–6, 4–6
Winner	13 June 1982	$100,000	Birmingham, Great Britain	Grass	Jo Durie	Rosie Casals\n Wendy Turnbull	6–3, 6–2
Winner	23 May 1983	$150,000	Berlin, Germany	Carpet	Jo Durie	Claudia Kohde-Kilsch\n Eva Pfaff	6–4, 7–6(7–2)
Runner-up	19 June 1983	$150,000	Eastbourne, Great Britain	Grass	Jo Durie	Martina Navrátilová\n Pam Shriver	1–6, 0–6
Winner	21 August 1983	$200,000	Toronto, Canada	Hard	Andrea Jaeger	Rosalyn Fairbank\n Candy Reynolds	6–4, 5–7, 7–5
Winner	20 November 1983	$150,000	Brisbane, Australia	Grass	Wendy Turnbull	Pam Shriver\n Sharon Walsh	6–3, 6–4
Winner	27 November 1983	$150,000	Sydney, Australia	Grass	Wendy Turnbull	Hana Mandlíková\n Helena Suková	6–4, 6–3
Runner-up	12 December 1983	Grand Slam	Australian Open, Australia	Grass	Wendy Turnbull	Martina Navrátilová\n Pam Shriver	4–6, 7–6, 2–6
Winner	23 January 1984	$50,000	Denver, United States	Hard	Marcella Mesker	Sherry Acker\n Candy Reynolds	6–2, 6–3
Runner-up	29 January 1984	$100,000	Marco Island, United States	Clay	Andrea Jaeger	Hana Mandlíková\n Helena Suková	6–3, 2–6, 2–6
Runner-up	16 April 1984	$200,000	Hilton Head, United States	Clay	Sharon Walsh	Claudia Kohde-Kilsch\n Hana Mandlíková	5–7, 2–6
Runner-up	22 April 1984	$250,000	Amelia Island, United States	Clay	Mima Jaušovec	Kathy Jordan\n Anne Smith	4–6, 6–3, 4–6
Runner-up	23 April 1984	$200,000	Orlando, United States	Clay	Wendy Turnbull	Claudia Kohde-Kilsch\n Hana Mandlíková	0–6, 6–1, 3–6
Winner	20 May 1984	$150,000	Berlin, Germany	Clay	Candy Reynolds	Kathy Horvath\n Virginia Ruzici	6–3, 4–6, 7–6(13–11)
Runner-up	9 September 1984	Grand Slam	US Open, United States	Hard	Wendy Turnbull	Martina Navrátilová\n Pam Shriver	2–6, 4–6
Runner-up	20 May 1985	$75,000	Melbourne, Australia	Carpet	Kathy Jordan	Pam Shriver\n Liz Smylie	2–6, 7–5, 1–6
Winner	15 December 1985	$50,000	Auckland, New Zealand	Grass	Candy Reynolds	Lea Antonoplis\n Adriana Villagrán	6–1, 6–3
Runner-up	19 July 1987	$150,000	Newport, United States	Grass	Kathy Jordan	Gigi Fernández\n Lori McNeil	6–7(5–7), 5–7
Runner-up	30 August 1987	$150,000	Mahwah, United States	Hard	Liz Smylie	Gigi Fernández\n Lori McNeil	3–6, 2–6
