"Tournament","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","W–L"
"Australian Open","A","2R","2R","2R","3R","2R","1R","3R","1R","1R","2R","9–10"
"French Open","2R","1R","1R","2R","2R","1R","2R","3R","1R","1R","","6–10"
"Wimbledon","A","2R","2R","1R","3R","2R","1R","2R","2R","1R","","7–9"
"US Open","A","1R","1R","1R","2R","2R","2R","2R","2R","1R","","5–9"
"Win–Loss","1–1","2–4","2–4","2–4","6–4","3–4","2–4","6–4","2–4","0–4","1–1","27–38"
"Indian Wells Masters","A","A","A","3R","2R","1R","4R","2R","3R","A","A","8–6"
"Miami Masters","A","A","A","2R","1R","1R","2R","2R","2R","A","","3–6"
"Monte-Carlo Masters","A","1R","A","3R","LQ","A","1R","2R","A","A","","2–3"
"Rome Masters","A","A","A","A","A","LQ","3R","1R","2R","A","","3–3"
"Madrid Masters","A","A","A","LQ","LQ","1R","3R","3R","2R","1R","","5–5"
"Canada Masters","A","A","A","A","A","1R","A","A","A","A","","0–1"
"Cincinnati Masters","A","A","A","LQ","A","3R","A","1R","A","A","","2–2"
"Shanghai Masters","Not Masters Series","Not Masters Series","Not Masters Series","Not Masters Series","Not Masters Series","1R","QF","2R","Q2","A","","4–3"
"Paris Masters","A","A","A","LQ","LQ","A","A","2R","1R","1R","","1–3"
"Hamburg Masters","A","A","2R","1R","A","Not Masters Series","Not Masters Series","Not Masters Series","Not Masters Series","Not Masters Series","","1–2"
"Win–Loss","0–0","0–1","1–1","4–4","1–2","2–6","11–6","5–8","5–5","0–2","","29–35"
"Titles–Finals","0–0","0–0","0–0","0–0","0–0","1–1","1–2","0–0","0–0","0–2","","2–5"
"Year End Ranking","129","91","68","90","62","41","33","39","76","62","",""
