"Player","-1967","03.30","03.31","04.04","10.14","1968","Total"
"Shigeo Yaegashi","41(11)","O","O","O","O","4(0)","45(11)"
"Mitsuo Kamata","37(2)","O","-","O","O","3(0)","40(2)"
"Masakatsu Miyamoto","36(1)","-","O","-","O","2(0)","38(1)"
"Masashi Watanabe","34(11)","-","O","O","-","2(0)","36(11)"
"Teruki Miyamoto","33(15)","O","O","O","O","4(0)","37(15)"
"Ryuichi Sugiyama","31(11)","O","O","O(1)","O","4(1)","35(12)"
"Hiroshi Katayama","26(0)","O","-","O","O","3(0)","29(0)"
"Ryozo Suzuki","22(0)","O","-","O","-","2(0)","24(0)"
"Kunishige Kamamoto","17(21)","O(2)","O","O(2)","O(3)","4(7)","21(28)"
"Aritatsu Ogi","16(5)","O","-","O","O","3(0)","19(5)"
"Yoshitada Yamaguchi","16(0)","O","O","O","-","3(0)","19(0)"
"Kenzo Yokoyama","16(0)","O","-","O","O","3(0)","19(0)"
"Hisao Kami","13(0)","O","O","-","-","2(0)","15(0)"
"Takaji Mori","9(1)","O","O","O","O","4(0)","13(1)"
"Ikuo Matsumoto","7(1)","O","-","-","O","2(0)","9(1)"
"Yasuyuki Kuwahara","5(3)","-","O(1)","-","O","2(1)","7(4)"
"Takeo Kimura","3(1)","O","O","-","-","2(0)","5(1)"
"Kiyoshi Tomizawa","3(0)","-","O","-","-","1(0)","4(0)"
"Koji Funamoto","1(0)","-","O","-","-","1(0)","2(0)"
"Junji Kawano","0(0)","-","O","-","-","1(0)","1(0)"
