"Place","Player","Country","Score","To par"
"1","Dustin Johnson","United States","71-70-66=207","–6"
"2","Graeme McDowell","Northern Ireland","71-68-71=210","–3"
"3","Tiger Woods","United States","74-72-66=212","–1"
"T4","Ernie Els","South Africa","73-68-72=213","E"
"T4","Grégory Havret","France","73-71-69=213","E"
"6","Phil Mickelson","United States","75-66-73=214","+1"
"T7","Alex Čejka","Germany","70-72-74=216","+3"
"T7","Tim Clark","South Africa","72-72-72=216","+3"
"T7","Ryo Ishikawa","Japan","70-71-75=216","+3"
"T10","Martin Kaymer","Germany","74-71-72=217","+4"
"T10","Davis Love III","United States","75-74-68=217","+4"
"T10","Sean O'Hair","United States","76-71-70=217","+4"
