Title	Date of creation	Surname	First titular
Duke of Abrantes	December 9, 1753	Lorena	Ana Maria Catarina Henriqueta de Lorena
Duke of Albuquerque	May 19, 1886	Costa de Sousa de Macedo	João Afonso da Costa de Sousa de Macedo
Duke of Aveiro	b. 1535	Lencastre\nMascarenhas da Silva e Lencastre	John of Lencastre, 1st Marquis of Torres Novas
Duke of Ávila and Bolama	May 14, 1878	Ávila	António José de Ávila
Duke of Barcelos	August 5, 1562	Bragança	John, 6th Duke of Braganza
Duke of Beja	1453	Portugal-Aviz\nBragança	Ferdinand, Duke of Viseu
Duke of Braganza	1442	Bragança	Afonso, Count of Barcelos
Duke of Cadaval	April 26, 1648	Álvares Pereira de Melo	Nuno Álvares Pereira de Melo
Duke of Caminha	December 14, 1620	Menezes	Miguel Luís de Menezes
Duke of Coimbra	1415	Portugal-Aviz\nLencastre\nBragança	Pedro, Prince of Portugal
Duke of Faial	April 4, 1833	Sousa Holstein	Pedro de Sousa Holstein
Duke of Ficalho	May 14, 1836	Almeida	Eugénia Maurícia Tomásia de Almeida Portugal
Duke of Goa	1515	Albuquerque	Afonso de Albuquerque
Duke of Guarda	October 5, 1530	Portugal-Aviz	Ferdinand, Prince of Portugal
Duke of Guimarães	1475	Bragança	Fernando II, Duke of Braganza
Duke of Lafões	February 17, 1718	Bragança\nBragança e Ligne de Sousa Tavares Mascarenhas da Silva	Pedro Henrique de Bragança
Duke of Linhares	?	Noronha	Fernando de Noronha
Duke of Loulé	October 3, 1852	Mendonça Rolim de Moura Barreto	Nuno José Severo de Mendonça Rolim de Moura Barreto
Duke of Miranda do Corvo	May 13, 1796	Bragança e Ligne de Sousa Tavares Mascarenhas da Silva	José Sousa Tavares Mascaranhas da Silva
Duke of Palmela	October 10, 1850	Sousa Holstein	Pedro de Sousa Holstein
Duke of Porto	1833	Bragança	Maria, Princess of Portugal\n(future Queen Maria II)
Duke of Saldanha	November 4, 1846	Saldanha Oliveira e Daun	João Francisco de Saldanha Oliveira e Daun
Duke of Tancos	April 22, 1790	Manoel	Constança Manoel
Duke of Terceira	November 8, 1832	Manoel e Meneses Severim de Noronha	António José de Sousa Manoel e Meneses Severim de Noronha
Duke of Torres Novas	September 26, 1619	Lencastre	George of Lencastre
Duke of Trancoso	1530	Portugal-Aviz	Ferdinand, Prince of Portugal
Duke of Vila Real	February 28, 1585	Menezes	Manuel de Menezes
Duke of Viseu	1415	Portugal-Aviz	Henry, the Navigator, Prince of Portugal
Duke of Vitória	December 12, 1812	Wellesley	Arthur Wellesley, Duke of Wellington
