Terminal	Operator	Depth\n(m)	Berths	Quay length\n(m)	Quay cranes	Area\n(m²)	Capacity\n(kTEUs)
Terminal 1 (CT1)	MTL	14	1		4		
Terminal 2 (CT2)	MTL	14	1		5		
Terminal 3 (CT3)	DPI	14	1	305	6	167,000	>1,200
Terminal 4 (CT4)	HIT	12.5	3		8		
Terminal 5 (CT5)	MTL	14	1		4		
Terminal 6 (CT6)	HIT	12.5-15.5	3		11		
Terminal 7 (CT7)	HIT	15.5	4		15		
Terminal 8 East (CT8E)	HIT/COSCO	15.5	2	640	9	300,000	1,800
Terminal 8 West (CT8W)	ACT	15.5	2	740	8	285,000	>2,000
Terminal 9 North (CT9N)	HIT	15.5	2	700	9	190,000	>2,600 (N&S)
Terminal 9 South (CT9S)	MTL	15.5	4	1,240	13	490,000	
