Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	8	12	10	30
2	China	7	4	2	13
3	Ukraine	7	1	1	9
4	Poland	3	4	2	9
5	Belarus	2	2	2	6
6	Germany	2	1	2	5
6	South Africa	2	1	2	5
7	Australia	2	1	1	4
8	Japan	2	0	1	3
9	France	1	3	0	4
10	Romania	1	2	2	5
11	Hungary	1	2	1	4
12	Great Britain	1	1	2	4
12	Spain	1	1	2	4
14	Morocco	1	1	1	3
15	Brazil	1	0	3	3
16	Czech Republic	1	0	2	3
17	Moldova	1	0	0	1
18	Finland	0	2	1	3
19	Estonia	0	1	1	2
19	North Korea	0	1	1	2
19	South Korea	0	1	1	2
22	Denmark	0	1	0	1
22	Ireland	0	1	0	1
22	Jamaica	0	1	0	1
22	Kazakhstan	0	1	0	1
22	Uganda	0	1	0	1
27	Croatia	0	0	2	2
28	Canada	0	0	1	1
28	Cyprus	0	0	1	1
28	Italy	0	0	1	1
28	Switzerland	0	0	1	1
