Date	Opponent#	Rank#	Site	TV	Result	Attendance
September 12	#7 Nebraska*		Kinnick Stadium • Iowa City, IA		W 10-7	60,160
September 19	at Iowa State*		Cyclone Stadium • Ames, IA (Cy-Hawk Trophy)		L 12-23	53,922
September 26	#6 UCLA*		Kinnick Stadium • Iowa City, IA		W 20-7	60,004
October 3	at Northwestern	#18	Dyche Stadium • Evanston, IL		W 64-0	30,113
October 10	Indiana	#15	Kinnick Stadium • Iowa City, IA		W 42-28	60,000
October 17	at #5 Michigan	#12	Michigan Stadium • Ann Arbor, MI		W 9-7	105,915
October 24	Minnesota	#6	Kinnick Stadium • Iowa City, IA (Floyd of Rosedale)	ABC	L 10-12	60,000
October 31	at Illinois	#16	Memorial Stadium • Champaign, IL		L 7-24	66,877
November 7	Purdue		Kinnick Stadium • Iowa City, IA		W 33-7	60,114
November 14	at Wisconsin		Camp Randall Stadium • Madison, WI	ABC	W 17-7	78,731
November 21	Michigan State	#19	Kinnick Stadium • Iowa City, IA		W 36-7	60,103
January 1	vs. #12 Washington*	#13	Rose Bowl • Pasadena, CA (Rose Bowl)	NBC	L 0-28	105,611
