"Year","Premiers","Score","Runners Up","Score"
"2003","Centrals Trinity Beach Bulldogs","14.11 (95)","North Cairns","6.7 (43)"
"2004","Port Douglas Crocs","17.13 (115)","North Cairns Tigers","8.9 (57)"
"2005","Port Douglas Crocs","19.14 (128)","Cairns Saints","4.11 (35)"
"2006","Manunda Hawks","11.11 (77)","Centrals Trinity Beach Bulldogs","10.9 (69)"
"2007","Centrals Trinity Beach Bulldogs","14.16 (100)","Cairns Saints","11.2 (68)"
"2008","Cairns Saints","12.15 (87)","North Cairns Tigers","2.9 (21)"
"2009","South Cairns Cutters","9.11 (65)","Cairns Saints","9.4 (58)"
"2010","North Cairns Tigers","8.10 (58)","Port Douglas Crocs","8.5 (53)"
"2011","Manunda Hawks","11.8 (74)","Port Douglas Crocs","6.9 (45)"
"2012","Cairns Saints","17.6 (108)","North Cairns Tigers","11.12 (78)"
"2013","North Cairns Tigers","14.14 (98)","Port Douglas Crocs","13.6 (84)"
