Rank	Nation	Gold	Silver	Bronze	Total
1	United States	12	13	6	31
2	Russia	10	5	6	21
3	Australia	8	12	6	26
4	China	7	4	8	19
5	Germany	5	6	5	16
6	Japan	3	3	3	9
7	Netherlands	3	2	2	7
8	Great Britain	2	3	3	8
9	Ukraine	2	3	2	7
10	Italy	2	2	1	5
11	Canada	2	0	1	3
12	Hungary	1	4	1	6
13	Spain	1	2	3	6
14	Poland	1	1	0	2
15	France	1	0	2	3
16	Finland	1	0	1	2
17	Belarus	1	0	0	1
18	Czech Republic	0	2	0	2
19	Slovakia	0	1	1	2
20	Denmark	0	1	0	1
20	Croatia	0	1	0	1
22	Romania	0	0	2	2
23	Bulgaria	0	0	1	1
23	Mexico	0	0	1	1
23	Serbia and Montenegro	0	0	1	1
23	South Africa	0	0	1	1
23	Sweden	0	0	1	1
23	Tunisia	0	0	1	1
Total	Total	62	65	59	186
