Subject	Robot's Name	Who?	When?	Where?	Occupation
Solar System	Cosmo-Bot	Copernicus	1531	Poland	Cosmonaut
Olympics	Rhonda Robot	Greeks	776 B.C.	Greece	Beauty queen
Basketball	Danny Defrost-Bot	James Naismith	1891	United States	Snowman
Nursing	Dr. Bug-Bot	Florence Nightengale	1860	England	Doctor
Scuba Gear	Flip the High-Diving Robot	Jacques Cousteau	1946	France	Diver
Helicopter	Amelia Air-Bot	Leonardo da Vinci	1483	Italy	Pilot
Corn Flakes	Chef Boy-Robot	William Kellogg	1894	Battle Creek, Michigan	Cook
Radium	Miss Battery-Bot	Marie Curie	1898	France	Battery Lady
Chewing Gum	Bubble-Bot	Mayans	400	Mexico	Bubble Man
Painting	Pierro-Bot	Stone-Age Humans	35,000 B.C.	Europe	Clown/Artist
Phonograph	Slide the Heavy-Metal Robot	Thomas Edison	1877	New Jersey	Rock Star
Paper	Noshi Origami	Ts'ai Lun	105	China	Origami Maker
Round Earth	Vasco da Robot	Ferdinand Magellan	1522	Spain	Early Sailor
Dynamite	Robby Robot	Alfred Nobel	1866	Sweden	Prankster
Microscope	Slobot	Antonie van Leeuwenhoek	1674	The Netherlands	Dirty Person
Writing	Eraser-Bot	Sumerians	3,500 B.C.	Middle East	Pencil Man
Sausage	Sock-Bot	Babylonians	3,000 B.C.	Middle East	Sock Man
Bicycle	Booster-Bot	Karl von Drais	1816	Germany	Rocket Man
Wheel	Rollin' Road-Bot	Sumerians	3,000 B.C.	Middle East	Race Starter
Germs	Roast-Bot	Louis Pasteur	1865	France	Firefighter
Boomerang	Oswald the Mailman Robot	Aborigines	40,000 years ago	Australia	Mailman
Coins	Verna the Vend-Bot	Lydians	600 B.C.	Turkey	Vending Machine
Tools	Hank the Handyman Robot	Stone-Age Humans	2½ million years ago	Africa	Mechanic
Saxophone	Bongo-Bot the Six-Armed Robot	Antoine-Joseph Sax	1846	France	Six-Armed Drum Player
Toilet	Brunwella the Bombshell	Minoans	2000 B.C.	Crete	Demolisher
