Edition	Year	Men's winner	Time	Women's winner	Time
30th	October 13, 2013	Yemane Tsegay (ETH)	2:09:11	Ruth Wanjiru (KEN)	2:34:48
29th	October 14, 2012	Dickson Kiptolo Chumba (KEN)	2:05:46	Aberume Mekuria (ETH)	2:27:20
28th	October 9, 2011	Jafred Chirchir Kipchumba (KEN)	2:05:48	Georgina Rono (KEN)	2:24:33
27th	October 10, 2010	Charles Kamathi (KEN)	2:07:38	Atsede Habtamu (ETH)	2:25:35
26th	October 11, 2009	Geoffrey Mutai (KEN)	2:07:01	Beata Naigambo (NAM)	2:31:01
25th	October 12, 2008	Geoffrey Mutai (KEN)	2:07:49	Lydia Kurgat (KEN)	2:33:39
24th	October 14, 2007	Philip Singoei (KEN)	2:07:57	Lydia Kurgat (KEN)	2:39:21
23rd	October 8, 2006	Philip Singoei (KEN)	2:08:18	Agnes Hijman (NED)	2:54:36
22nd	October 9, 2005	Boniface Usisivu (KEN)	2:08:45	Tatyana Perepelkina (RUS)	2:38:27
21st	October 10, 2004	Willy Cheruiyot (KEN)	2:09:20	Annelieke van der Sluijs (NED)	2:37:33
20th	October 12, 2003	Willy Cheruiyot (KEN)	2:09:05	Vivian Ruijters (NED)	2:36:36
19th	October 13, 2002	Willy Cheruiyot (KEN)	2:10:12	Marleen van Reusel (BEL)	2:54:23
18th	October 14, 2001	Samuel Tangus (KEN)	2:12:47	Valentina Poltavskaya (RUS)	2:54:30
17th	October 8, 2000	Willy Cheruiyot (KEN)	2:09:55	Wilma van Onna (NED)	2:39:55
16th	October 10, 1999	David Ngetich (KEN)	2:09:24	Nadezhda Wijenberg (NED)	2:28:45
15th	October 11, 1998	Grzegorz Gajdus (POL)	2:10:51	Simona Staicu (ROU)	2:36:05
14th	October 12, 1997	John Kiprono (KEN)	2:11:51	Mieke Hombergen (NED)	2:36:14
13th	October 13, 1996	Tumo Turbo (ETH)	2:11:26	Simona Staicu (ROU)	2:37:47
12th	October 8, 1995	Pyotro Sarafinyuk (UKR)	2:16:40	Carla Beurskens (NED)	2:35:16
11th	October 9, 1994	Aiduna Aitnafa (ETH)	2:11:37	Jeanne Jansen (NED)	2:45:03
10th	October 10, 1993	Mohamed Kamel Selmi (ALG)	2:12:47	Liesbeth van Ast (NED)	2:40:57
9th	October 11, 1992	Andy Green (ENG)	2:15:09	Adriana Andrescu (ROU)	2:37:18
8th	October 13, 1991	Vladimir Kotov (BLR)	2:14:03	Mieke Hombergen (NED)	2:46:28
7th	October 14, 1990	John Vermeule (NED)	2:15:03	Mieke Hombergen (NED)	2:44:59
6th	October 16, 1988	Jean-Pierre Paumen (BEL)	2:14:54	Heather MacDuff (ENG)	2:34:26
5th	October 12, 1986	Kim Reynierse (NED)	2:15:13	Heather MacDuff (ENG)	2:55:39
4th	September 23, 1984	Harrie Driessen (NED)	2:22:17	Annelies van Dijk (NED)	3:12:13
3rd	October 24, 1982	Lucien Rottiers (BEL)	2:16:27	Ann Rindt (NED)	2:59:07
—	1961–1981	Marathon Race Not Held	—	—	—
2nd	July 23, 1960	Frans Künen (NED)	2:26:07 NR	—	—
1st	July 4, 1959	Fritz Schöning (FRG)	2:45:05	—	—
