Conference	# of Bids	Record	Win %	Round\nof 32	Sweet\nSixteen	Elite\nEight	Final\nFour	Championship\nGame
Southeastern	6	10–6	.625	5	3	1	1	–
Big Ten	5	9–5	.643	4	2	2	1	–
Pacific-10	5	8–5	.615	4	2	2	–	–
Southwest	4	5–4	.556	3	2	–	–	–
Big Eight	4	3–4	.429	2	1	–	–	–
Atlantic Coast	3	9–2	.818	3	2	1	1	1
Atlantic 10	3	1–3	.250	1	–	–	–	–
Sun Belt	2	6–2	.750	2	1	1	1	1
Big East	2	5–2	.714	2	2	1	–	–
Metro	2	2–2	.500	1	1	–	–	–
Missouri Valley	2	2–2	.500	2	–	–	–	–
Big Sky	2	1–2	.333	1	–	–	–	–
Big West	2	0–2	–	–	–	–	–	–
Great Midwest	2	0–2	–	–	–	–	–	–
Mid-Continent	2	0–2	–	–	–	–	–	–
West Coast	2	0–2	–	–	–	–	–	–
Colonial	1	1–1	.500	1	–	–	–	–
Western Athletic	1	1–1	.500	1	–	–	–	–
