"Player","Games Played","Minutes Played","Minutes Played Per Game","Rebounds","Rebounds Per Game","Assists","Assists Per Game","Field Goal %","Free Throw %","3-Point %","Points","Points Per Game"
"Allan Houston","78","2858","36.6","283","3.6","173","2.2",".449",".909",".381","1459","18.7"
"Latrell Sprewell","77","3017","39.2","347","4.5","269","3.5",".430",".783",".304","1364","17.7"
"Glen Rice","75","2212","29.5","307","4.1","89","1.2",".440",".852",".389","899","12.0"
"Marcus Camby","63","2127","33.8","515","11.5","52","0.8",".524",".667",".125","759","12.0"
"Kurt Thomas","77","2125","27.6","723","6.7","63","0.8",".511",".814",".333","800","10.4"
"Larry Johnson","65","2105","32.4","363","5.6","127","2.0",".411",".797",".313","645","9.9"
"Charlie Ward","61","1492","24.5","159","2.6","273","4.5",".416",".800",".383","433","7.1"
"Othella Harrington","30","548","18.3","99","3.3","20","0.7",".554",".729","","185","6.2"
"Mark Jackson","29","786","27.1","120","4.1","163","5.6",".411",".529",".310","170","5.9"
"Chris Childs","51","1309","25.7","138","2.7","236","4.6",".419",".848",".313","245","4.8"
"Erick Strickland","28","421","15.0","52","1.9","29","1.0",".305",".857",".340","120","4.3"
"Lavor Postell","26","169","6.5","25","1.0","5","0.2",".315",".815",".273","59","2.3"
"Felton Spencer","18","113","6.3","35","1.9","2","0.1",".600",".600","","39","2.2"
"Luc Longley","25","301","12.0","66","2.6","7","0.3",".333",".765","","49","2.0"
"Rick Brunson","15","66","4.4","12","0.8","7","0.5",".421",".667",".000","20","1.3"
"Travis Knight","45","256","5.7","53","1.2","5","0.1",".189",".500",".000","29","0.6"
