"Entrant","Constructor","Chassis","Engine","Tyre","Driver","Rounds"
"Scuderia Ferrari SpA SEFAC","Ferrari","156","Ferrari 178 1.5 V6","D","Phil Hill","1–3, 5–7"
"Scuderia Ferrari SpA SEFAC","Ferrari","156","Ferrari 178 1.5 V6","D","Giancarlo Baghetti","1, 3, 6–7"
"Scuderia Ferrari SpA SEFAC","Ferrari","156","Ferrari 178 1.5 V6","D","Ricardo Rodríguez","1–3, 6–7"
"Scuderia Ferrari SpA SEFAC","Ferrari","156","Ferrari 178 1.5 V6","D","Lorenzo Bandini","2, 6–7"
"Scuderia Ferrari SpA SEFAC","Ferrari","156","Ferrari 178 1.5 V6","D","Willy Mairesse","2–3, 7"
"Team Lotus","Lotus-Climax","25
24","Climax FWMV 1.5 V8","D","Jim Clark","All"
"Team Lotus","Lotus-Climax","25
24","Climax FWMV 1.5 V8","D","Trevor Taylor","All"
"Cooper Car Company","Cooper-Climax","T60
T55","Climax FWMV 1.5 V8
Climax FPF 1.5 L4","D","Bruce McLaren","All"
"Cooper Car Company","Cooper-Climax","T60
T55","Climax FWMV 1.5 V8
Climax FPF 1.5 L4","D","Tony Maggs","All"
"Cooper Car Company","Cooper-Climax","T60
T55","Climax FWMV 1.5 V8
Climax FPF 1.5 L4","D","Timmy Mayer","8"
"Brabham Racing Organisation","Lotus-Climax","24","Climax FWMV 1.5 V8","D","Jack Brabham","1–5"
"Brabham Racing Organisation","Brabham-Climax","BT3","Climax FWMV 1.5 V8","D","Jack Brabham","6, 8–9"
"UDT Laystall Racing Team","Lotus-Climax","24
18/21","Climax FWMV 1.5 V8
Climax FPF 1.5 L4","D","Innes Ireland","1–5, 7–9"
"UDT Laystall Racing Team","Lotus-Climax","24
18/21","Climax FWMV 1.5 V8
Climax FPF 1.5 L4","D","Masten Gregory","1, 5"
"UDT Laystall Racing Team","Lotus-BRM","24","BRM P56 1.5 V8","D","Masten Gregory","2–4, 7–8"
"Porsche System Engineering","Porsche","804
718","Porsche 753 1.5 F8
Porsche 547/6 1.5 F4","D","Jo Bonnier","1–2, 4–8"
"Porsche System Engineering","Porsche","804
718","Porsche 753 1.5 F8
Porsche 547/6 1.5 F4","D","Dan Gurney","1–2, 5–8"
"Porsche System Engineering","Porsche","804
718","Porsche 753 1.5 F8
Porsche 547/6 1.5 F4","D","Phil Hill","8"
"Ecurie Maarsbergen","Porsche","718
787","Porsche 547/6 1.5 F4","D","Carel Godin de Beaufort","All"
"Ecurie Maarsbergen","Porsche","718
787","Porsche 547/6 1.5 F4","D","Ben Pon","1"
"Ecurie Maarsbergen","Emeryson-Climax","61","Climax FPF 1.5 L4","D","Wolfgang Seidel","1"
"Owen Racing Organisation","BRM","P57
P48/57","BRM P56 1.5 V8","D","Graham Hill","All"
"Owen Racing Organisation","BRM","P57
P48/57","BRM P56 1.5 V8","D","Richie Ginther","All"
"Bowmaker-Yeoman Racing Team","Lola-Climax","Mk 4","Climax FWMV 1.5 V8","D","John Surtees","All"
