Poll Source	Sample Size	Margin of Error	Date	Democrat	%	Republican	%
Rasmussen Reports	500	4.5	Mar 31, 2008	Hillary Clinton	36	John McCain	51
Rasmussen Reports	500	4.5	Mar 31, 2008	Barack Obama	46	John McCain	42
Survey USA	517	4.4	Mar 14-16, 2008	Hillary Clinton	44	John McCain	48
Survey USA	517	4.4	Mar 14-16, 2008	Barack Obama	50	John McCain	44
Rasmussen Reports	500		Feb 18, 2008	Hillary Clinton	37	John McCain	47
Rasmussen Reports	500		Feb 18, 2008	Barack Obama	44	John McCain	41
Survey USA	563	4.2	Feb 15-17, 2008	Hillary Clinton	41	John McCain	52
Survey USA	563	4.2	Feb 15-17, 2008	Barack Obama	51	John McCain	41
Survey USA	543	4.3	Jan 4-6, 2008	Hillary Clinton	51	Rudy Giuliani	35
Survey USA	543	4.3	Jan 4-6, 2008	Hillary Clinton	47	Mike Huckabee	45
Survey USA	543	4.3	Jan 4-6, 2008	Hillary Clinton	44	John McCain	48
Survey USA	543	4.3	Jan 4-6, 2008	Hillary Clinton	48	Mitt Romney	40
Survey USA	543	4.3	Jan 4-6, 2008	Barack Obama	66	Rudy Giuliani	26
Survey USA	543	4.3	Jan 4-6, 2008	Barack Obama	58	Mike Huckabee	35
Survey USA	543	4.3	Jan 4-6, 2008	Barack Obama	55	John McCain	38
Survey USA	543	4.3	Jan 4-6, 2008	Barack Obama	59	Mitt Romney	33
Survey USA			Dec. 17, 2007	Hillary Clinton	46	Mike Huckabee	45
Survey USA	546	4.3	Nov 9-11, 2007	Hillary Clinton	47	Rudy Giuliani	43
Survey USA	546	4.3	Nov 9-11, 2007	Hillary Clinton	49	Mike Huckabee	43
Survey USA	546	4.3	Nov 9-11, 2007	Hillary Clinton	44	John McCain	48
Survey USA	546	4.3	Nov 9-11, 2007	Hillary Clinton	49	Mitt Romney	43
Survey USA	546	4.3	Nov 9-11, 2007	Barack Obama	52	Rudy Giuliani	39
Survey USA	546	4.3	Nov 9-11, 2007	Barack Obama	56	Mike Huckabee	35
Survey USA	546	4.3	Nov 9-11, 2007	Barack Obama	50	John McCain	42
Survey USA	546	4.3	Nov 9-11, 2007	Barack Obama	53	Mitt Romney	39
Survey USA	513	4.4	Oct 12-14, 2007	Hillary Clinton	48	Rudy Giuliani	43
Survey USA	506	4.3	Oct 12-14, 2007	Hillary Clinton	51	Mike Huckabee	41
Survey USA	502	4.5	Oct 12-14, 2007	Hillary Clinton	49	John McCain	44
Survey USA	498	4.5	Oct 12-14, 2007	Hillary Clinton	52	Ron Paul	36
Survey USA	506	4.4	Oct 12-14, 2007	Hillary Clinton	50	Mitt Romney	42
Survey USA	509	4.4	Oct 12-14, 2007	Hillary Clinton	50	Fred Thompson	42
