"Name","Quadrant","Sector","Ward","Type","2012
Population
Rank","Population
(2012)","Population
(2011)","% change","Dwellings
(2012)","Area
(km2)","Population
density"
"Abbeydale","NE/SE","Northeast","10","Residential","82","5,917","5,700","3.8","2,023","1.7","3,480.6"
"Acadia","SE","South","9","Residential","27","10,705","10,615","0.8","5,053","3.9","2,744.9"
"Albert Park/Radisson Heights","SE","East","10","Residential","75","6,234","6,217","0.3","2,709","2.5","2,493.6"
"Altadore","SW","Centre","11","Residential","39","9,116","8,907","2.3","4,486","2.9","3,143.4"
"Alyth/Bonnybrook","SE","Centre","9","Industrial","208","16","17","−5.9","14","3.8","4.2"
"Applewood Park","SE/NE","East","10","Residential","69","6,498","6,404","1.5","2,215","1.6","4,061.3"
"Arbour Lake","NW","Northwest","2","Residential","26","10,836","10,762","0.7","3,918","4.4","2,462.7"
"Aspen Woods","SW","West","6","Residential","92","5,271","4,469","17.9","2,281","3.8","1,387.1"
"Auburn Bay","SE","Southeast","12","Residential","60","7,193","5,769","24.7","2,808","4.5","1,598.4"
"Aurora Business Park","NE","North","3","Industrial","237","0","0","—","0","2.4","0"
"Banff Trail","NW","Centre","7","Residential","113","3,837","3,582","7.1","1,950","1.5","2,558"
"Bankview","SW","Centre","8","Residential","94","5,221","4,754","9.8","3,528","0.7","7,458.6"
"Bayview","SW","South","11","Residential","182","682","648","5.2","249","0.4","1,705"
"Beddington Heights","NW/NE","North","4","Residential","20","11,585","11,457","1.1","4,348","3.2","3,620.3"
"Bel-Aire","SW","Centre","11","Residential","188","424","449","−5.6","159","0.3","1,413.3"
"Beltline","SW/SE","Centre","8","Residential","3","19,681","19,556","0.6","14,456","2.9","6,786.6"
"Bonavista Downs","SE","South","14","Residential","177","925","947","−2.3","370","0.5","1,850"
"Bowness","NW","Northwest","1","Residential","24","11,012","10,700","2.9","5,313","5.6","1,966.4"
"Braeside","SW","South","11","Residential","81","5,940","5,978","−0.6","2,544","2","2,970"
"Brentwood","NW","Northwest","7","Residential","80","6,059","6,049","0.2","2,595","2.9","2,089.3"
"Bridgeland/Riverside","NE/SE","Centre","7/9","Residential","89","5,594","5,254","6.5","3,274","3.1","1,804.5"
"Bridlewood","SW","South","13","Residential","18","11,835","11,641","1.7","4,200","3.2","3,698.4"
"Britannia","SW","Centre","11","Residential","180","803","746","7.6","309","0.5","1,606"
"Burns Industrial","SE","Centre","9","Industrial","211","0","11","−100","2","2.9","0"
"Calgary International Airport","NE","Northeast","3","Industrial","212","0","0","—","4","20.6","0"
"Cambrian Heights","NW","Centre","7","Residential","152","2,059","2,039","1","930","0.9","2,287.8"
"Canada Olympic Park","SW","West","1","Major Park","238","0","0","—","0","0.9","0"
"Canyon Meadows","SW","South","13","Residential","55","7,787","7,895","−1.4","3,195","3.1","2,511.9"
"Capitol Hill","NW","Centre","7","Residential","110","4,015","4,003","0.3","2,291","1.4","2,867.9"
