"Representative","Title","Presentation
of Credentials","Termination
of Mission","Appointed by"
"Theodore R. Britton, Jr.","Ambassador Extraordinary and Plenipotentiary","February 25, 1975","April 22, 1977","Gerald Ford"
"Frank V. Ortiz, Jr.","Ambassador Extraordinary and Plenipotentiary","July 29, 1977","May 15, 1979","Jimmy Carter"
"Sally Shelton-Colby","Ambassador Extraordinary and Plenipotentiary","July 23, 1979","February 24, 1981","Jimmy Carter"
"Charles A. Gillespie","Chargé d'Affaires ad interim","February 2, 1984","March 1984","Ronald Reagan"
"Loren E. Lawrence","Chargé d'Affaires ad interim","March 1984","December 1984","Ronald Reagan"
"Roy T. Haverkamp","Chargé d'Affaires ad interim","December 1984","March 1986","Ronald Reagan"
"John C. Leary","Chargé d'Affaires ad interim","March 1986","January 9, 1987","Ronald Reagan"
"John C. Leary","Chargé d'Affaires","January 9, 1987","May 1988","Ronald Reagan"
"James Ford Cooper","Chargé d'Affaires","June 1988","January 1991","Ronald Reagan"
"Annette T. Veler","Chargé d'Affaires","July 1991","July 1993","George H. W. Bush"
"Ollie P. Anderson, Jr.","Chargé d'Affaires","September 1993","September 1994","Bill Clinton"
"Dennis F. Carter","Chargé d'Affaires","December 1994","March 1995","Bill Clinton"
"Jeanette W. Hyde","Ambassador Extraordinary and Plenipotentiary","April 4, 1995","January 31, 1998","Bill Clinton"
"E. William Crotty","Ambassador Extraordinary and Plenipotentiary","January 30, 1999","October 10, 1999","Bill Clinton"
"James A. Daley","Ambassador Extraordinary and Plenipotentiary","October 17, 2000","March 1, 2001","Bill Clinton"
"Earl Norfleet Phillips","Ambassador Extraordinary and Plenipotentiary","March 26, 2002","June 1, 2003","George W. Bush"
"Mary Kramer","Ambassador Extraordinary and Plenipotentiary","February 5, 2004","October 30, 2006","George W. Bush"
"Mary Martin Ourisman","Ambassador Extraordinary and Plenipotentiary","January 18, 2007","2008","George W. Bush"
"Brent Hardt","Chargé d'Affaires ad interim","January 1, 2009","June 19, 2011",""
"Christopher Sandrolini","Chargé d'Affaires ad interim","June 19, 2011","2012",""
"Larry Leon Palmer","Ambassador Extraordinary and Plenipotentiary","2012","incumbent","Barack Obama"
