"Rank","City","Population (2011)","Population (2001)","State/Territory"
"1","Mumbai","12,478,447","11,978,450","Maharashtra"
"2","Delhi","11,007,835","9,879,172","Delhi"
"3","Bangalore","8,425,970","5,438,065","Karnataka"
"4","Hyderabad","6,809,970","3,637,483","Andhra Pradesh"
"5","Ahmedabad","5,570,585","3,520,085","Gujarat"
"6","Chennai","4,681,087","4,343,645","Tamil Nadu"
"7","Kolkata","4,486,679","4,572,876","West Bengal"
"8","Surat","4,462,002","2,433,835","Gujarat"
"9","Pune","3,115,431","2,538,473","Maharashtra"
"10","Jaipur","3,073,350","2,322,575","Rajasthan"
"11","Lucknow","2,815,601","2,185,927","Uttar Pradesh"
"12","Kanpur","2,767,031","2,551,337","Uttar Pradesh"
"13","Nagpur","2,405,421","2,052,066","Maharashtra"
"14","Indore","1,960,631","1,474,968","Madhya Pradesh"
"15","Thane","1,818,872","1,262,551","Maharashtra"
"16","Bhopal","1,795,648","1,437,354","Madhya Pradesh"
"17","Visakhapatnam","1,730,320","982,904","Andhra Pradesh"
"18","Pimpri-Chinchwad","1,729,359","1,012,472","Maharashtra"
"19","Patna","1,683,200","1,366,444","Bihar"
"20","Vadodara","1,666,703","1,306,227","Gujarat"
"21","Ghaziabad","1,636,068","968,256","Uttar Pradesh"
"22","Ludhiana","1,613,878","1,398,467","Punjab"
"23","Agra","1,574,542","1,275,134","Uttar Pradesh"
"24","Nashik","1,486,973","1,077,236","Maharashtra"
"25","Faridabad","1,404,653","1,055,938","Haryana"
"26","Meerut","1,309,023","1,068,772","Uttar Pradesh"
"27","Rajkot","1,286,995","967,476","Gujarat"
"28","Kalyan-Dombivali","1,246,381","1,193,512","Maharashtra"
"29","Vasai-Virar","1,221,233","Not Available","Maharashtra"
"30","Varanasi","1,201,815","1,091,918","Uttar Pradesh"
"31","Srinagar","1,192,792","898,440","Jammu and Kashmir"
"32","Aurangabad","1,171,330","873,311","Maharashtra"
"33","Dhanbad","1,161,561","99,258","Jharkhand"
"34","Amritsar","1,132,761","966,862","Punjab"
"35","Navi Mumbai","1,119,477","704,002","Maharashtra"
"36","Allahabad","1,117,094","975,393","Uttar Pradesh"
"37","Ranchi","1,073,440","847,093","Jharkhand"
"38","Howrah","1,072,161","1,007,532","West Bengal"
"39","Coimbatore","1,061,447","930,882","Tamil Nadu"
"40","Jabalpur","1,054,336","932,484","Madhya Pradesh"
"41","Gwalior","1,053,505","827,026","Madhya Pradesh"
"42","Vijayawada","1,048,240","851,282","Andhra Pradesh"
"43","Jodhpur","1,033,918","851,051","Rajasthan"
"44","Madurai","1,016,885","928,869","Tamil Nadu"
"45","Raipur","1,010,087","605,747","Chhattisgarh"
"46","Kota","1,001,365","694,316","Rajasthan"
"47","Guwahati","963,429","809,895","Assam"
"48","Chandigarh","960,787","808,515","Chandigarh"
"49","Solapur","951,118","872,478","Maharashtra"
"50","Hubballi-Dharwad","943,857","786,195","Karnataka"
"51","Bareilly","898,167","718,395","Uttar Pradesh"
"52","Moradabad","889,810","641,583","Uttar Pradesh"
"53","Mysore","887,446","755,379","Karnataka"
"54","Gurgaon","876,824","173,542","Haryana"
"55","Aligarh","872,575","669,087","Uttar Pradesh"
"56","Jalandhar","862,196","706,043","Punjab"
"57","Tiruchirappalli","846,915","752,066","Tamil Nadu"
"58","Bhubaneswar","837,737","648,032","Orissa"
"59","Salem","831,038","696,760","Tamil Nadu"
"60","Mira-Bhayandar","814,655","520,388","Maharashtra"
"61","Trivandrum (Thiruvananthapuram)","752,490","744,983","Kerala"
"62","Bhiwandi","711,329","598,741","Maharashtra"
"63","Saharanpur","703,345","455,754","Uttar Pradesh"
"64","Gorakhpur","671,048","622,701","Uttar Pradesh"
"65","Guntur","651,382","514,461","Andhra Pradesh"
"66","Bikaner","647,804","529,690","Rajasthan"
"67","Amravati","646,801","549,510","Maharashtra"
"68","Noida","642,381","305,058","Uttar Pradesh"
"69","Jamshedpur","629,659","573,096","Jharkhand"
"70","Bhilai","625,697","556,366","Chhattisgarh"
"71","Warangal","620,116","530,636","Andhra Pradesh"
"72","Mangalore","619,664","399,565","Karnataka"
"73","Cuttack","606,007","534,654","Orissa"
"74","Firozabad","603,797","279,102","Uttar Pradesh"
"75","Kochi (Cochin)","601,574","596,473","Kerala"
"76","Bhavnagar","593,768","511,085","Gujarat"
"77","Dehradun","578,420","426,674","Uttarakhand"
"78","Durgapur","566,937","493,405","West Bengal"
"79","Asansol","564,491","475,439","West Bengal"
"80","Nanded","550,564","430,733","Maharashtra"
"81","Kolhapur","549,283","493,167","Maharashtra"
"82","Ajmer","542,580","485,575","Rajasthan"
"83","Gulbarga","532,031","422,569","Karnataka"
"84","Jamnagar","529,308","443,518","Gujarat"
"85","Ujjain","515,215","430,427","Madhya Pradesh"
"86","Loni","512,296","120,945","Uttar Pradesh"
"87","Siliguri","509,709","472,374","West Bengal"
"88","Jhansi","507,293","383,644","Uttar Pradesh"
"89","Ulhasnagar","506,937","473,731","Maharashtra"
"90","Nellore","505,258","378,428","Andhra Pradesh"
"91","Jammu","503,690","369,959","Jammu and Kashmir"
"92","Sangli-Miraj & Kupwad","502,697","436,781","Maharashtra"
"93","Belgaum","488,292","399,653","Karnataka"
"94","Ambattur","478,134","310,967","Tamil Nadu"
"95","Tirunelveli","474,838","411,831","Tamil Nadu"
"96","Malegaon","471,006","409,403","Maharashtra"
"97","Gaya","463,454","385,432","Bihar"
"98","Jalgaon","460,468","368,618","Maharashtra"
"99","Udaipur","451,735","389,438","Rajasthan"
"100","Maheshtala","449,423","385,266","West Bengal"
"101","Tirupur","444,543","344,543","Tamil Nadu"
"102","Davanagere","435,128","364,523","Karnataka"
"103","Kozhikode (Calicut)","432,097","436,556","Kerala"
"104","Akola","427,146","400,520","Maharashtra"
"105","Kurnool","424,920","269,122","Andhra Pradesh"
"106","Rajpur Sonarpur","423,806","336,707","West Bengal"
"107","Bokaro","413,934","393,805","Jharkhand"
"108","South Dumdum","410,524","392,444","West Bengal"
"109","Bellary","409,644","316,766","Karnataka"
"110","Patiala","405,164","303,151","Punjab"
"111","Gopalpur","404,991","271,811","West Bengal"
"112","Agartala","399,688","271,811","Tripura"
"113","Bhagalpur","398,138","340,767","Bihar"
"114","Muzaffarnagar","392,451","316,729","Uttar Pradesh"
"115","Bhatpara","390,467","442,385","West Bengal"
"116","Panihati","383,522","348,438","West Bengal"
"117","Latur","382,754","299,985","Maharashtra"
"118","Dhule","376,093","341,755","Maharashtra"
"119","Rohtak","373,133","286,807","Haryana"
"120","Korba","363,210","315,690","Chhattisgarh"
"121","Bhilwara","360,009","280,128","Rajasthan"
"122","Brahmapur","355,823","307,792","Orissa"
"123","Muzaffarpur","351,838","305,525","Bihar"
"124","Ahmednagar","350,905","307,615","Maharashtra"
"125","Mathura","349,336","302,770","Uttar Pradesh"
"126","Kollam (Quilon)","349,033","361,560","Kerala"
"127","Avadi","344,701","229,403","Tamil Nadu"
"128","Rajahmundry","343,903","315,251","Andhra Pradesh"
"129","Kadapa","341,823","125,725","Andhra Pradesh"
"130","Kamarhati","336,579","314,507","West Bengal"
"131","Bilaspur","330,106","274,917","Chhattisgarh"
"132","Shahjahanpur","327,975","296,662","Uttar Pradesh"
"133","Bijapur","326,360","228,175","Karnataka"
"134","Rampur","325,248","281,494","Uttar Pradesh"
"135","Shivamogga (Shimoga)","322,428","274,352","Karnataka"
"136","Chandrapur","321,036","289,450","Maharashtra"
"137","Junagadh","320,250","168,686","Gujarat"
"138","Thrissur","315,596","317,526","Kerala"
"139","Alwar","315,310","260,593","Rajasthan"
"140","Bardhaman","314,638","285,602","West Bengal"
"141","Kulti","313,977","289,903","West Bengal"
"142","Kakinada","312,255","296,329","Andhra Pradesh"
"143","Nizamabad","310,467","288,722","Andhra Pradesh"
"144","Parbhani","307,191","259,329","Maharashtra"
"145","Tumkur","305,821","248,929","Karnataka"
"146","Hisar","301,249","256,689","Haryana"
"147","Ozhukarai","300,028","217,707","Puducherry"
"148","Bihar Sharif","296,889","232,071","Bihar"
"149","Panipat","294,150","261,740","Haryana"
"150","Darbhanga","294,116","267,348","Bihar"
"151","Bally","291,972","260,906","West Bengal"
"152","Aizawl","291,822","228,280","Mizoram"
"153","Dewas","289,438","231,672","Madhya Pradesh"
"154","Ichalkaranji","287,570","257,610","Maharashtra"
"155","Tirupati","287,035","228,202","Andhra Pradesh"
"156","Karnal","286,974","210,476","Haryana"
"157","Bathinda","285,813","217,256","Punjab"
"158","Jalna","285,349","235,795","Maharashtra"
"159","Barasat","283,443","231,515","West Bengal"
"160","Kirari Suleman Nagar","282,598","153,874","Delhi"
"161","Purnia","280,547","171,687","Bihar"
"162","Satna","280,248","225,464","Madhya Pradesh"
"163","Mau","279,060","212,657","Uttar Pradesh"
"164","Sonipat","277,053","214,974","Haryana"
"165","Farrukhabad","275,750","228,333","Uttar Pradesh"
"166","Sagar","273,357","232,133","Madhya Pradesh"
"167","Rourkela","273,217","224,601","Orissa"
"168","Durg","268,679","232,517","Chhattisgarh"
"169","Imphal","264,986","221,492","Manipur"
"170","Ratlam","264,810","222,202","Madhya Pradesh"
"171","Hapur","262,801","211,983","Uttar Pradesh"
"172","Anantapur","262,340","218,808","Andhra Pradesh"
