"#","Date","Opponent","Score","Win","Loss","Save","Attendance","Record"
"106","August 1","Angels","8 - 7 (12)","O'Flaherty (7-0)","Speier (0-2)","","34,471","59-47"
"107","August 3","Red Sox","7 - 4","Green (5-1)","Timlin (1-1)","Putz (32)","46,235","60-47"
"108","August 4","Red Sox","4 - 3","Matsuzaka (13-8)","Washburn (8-8)","Papelbon (25)","46,313","60-48"
"109","August 5","Red Sox","9 - 2","Beckett (14-5)","Batista (11-8)","","46,377","60-49"
"110","August 7","@ Orioles","10 - 3","Weaver (3-10)","Walker (1-2)","","25,060","61-49"
"111","August 8","@ Orioles","8 - 4","Hernández (8-6)","Guthrie (7-4)","Putz (33)","17,511","62-49"
"112","August 9","@ Orioles","13 - 8","Ramírez (7-3)","Cabrera (8-12)","Sherrill (1)","18,679","63-49"
"113","August 10","@ White Sox","5 - 3","Vázquez (10-6)","Washburn (8-9)","Jenks (33)","38,586","63-50"
"114","August 11","@ White Sox","7 - 6","Batista (12-8)","Floyd (1-2)","Putz (34)","38,210","64-50"
"115","August 12","@ White Sox","6 - 0","Weaver (4-10)","Danks (6-10)","","36,629","65-50"
"116","August 13","Twins","4 - 3","Putz (2-1)","Guerrier (1-4)","","37,902","66-50"
"117","August 14","Twins","11 - 3","Garza ()","Ramírez (7-4)","","33,729","66-51"
"118","August 15","Twins","6 - 1","Neshek (7-2)","Washburn (8-10)","","42,921","66-52"
"119","August 17","White Sox","5 - 4","Batista (13-8)","Contreras (6-15)","Putz (35)","46,170","67-52"
"120","August 18","White Sox","7 - 5","Weaver (5-10)","Danks (6-11)","Putz (36)","41,121","68-52"
"121","August 19","White Sox","11 - 5","Hernández (9-6)","Garland (8-9)","","45,668","69-52"
"122","August 20","@ Twins","9 - 4","Ramírez (8-4)","Garza (2-4)","","31,755","70-52"
"123","August 21","@ Twins","7 - 2","Washburn (9-10)","Baker (6-6)","","42,373","71-52"
"124","August 22","@ Twins","8 - 4","Silva (10-12)","Batista (13-9)","","29,881","71-53"
"125","August 23","@ Rangers","9 - 4","Weaver (6-10)","Loe (6-10)","","26,963","72-53"
"126","August 24","@ Rangers","4 - 2","Hernández (10-6)","Millwood (8-11)","Putz (37)","32,716","73-53"
"127","August 25","@ Rangers","5 - 3","Benoit (7-3)","White (1-1)","Wilson (8)","47,977","73-54"
"128","August 26","@ Rangers","5 - 3","Padilla (4-9)","Washburn (9-11)","","25,437","73-55"
"129","August 27","Angels","6 - 0","Lackey (16-8)","Batista (13-10)","","45,998","73-56"
"130","August 28","Angels","10 - 6","Speier (2-3)","Morrow (3-3)","","44,395","73-57"
"131","August 29","Angels","8 - 2","Weaver (10-6)","Hernández (10-7)","","46,047","73-58"
"132","August 30","@ Indians","6 - 5","Borowski (3-5)","O'Flaherty (7-1)","","25,949","73-59"
"133","August 31","@ Blue Jays","7 - 5","Marcum (12-5)","Washburn (9-12)","Accardo (26)","34,518","73-60"
